Battle,belligerent,pos,Result,VorD
Battle_of_White_Mountain,"Christian I, Prince of Anhalt-Bernburg",L,"Decisive victory for Ferdinand II, Holy Roman Emperor and his Catholic allies

Outcome:

Bohemian Revolt ended
Denmark and Sweden join the Thirty Years' War

Outcome for the Bohemian Estates:

Heavy material losses, big reduction in farmsteads
Substantial decline of the population
Forced conversion to Roman Catholicism
Eradication of Protestantism
Decline of the Czech language
German established as the main language of Bohemian aristocracy
Old Town Square execution
Bohemian aristocracy partly exiled to Protestant countries

Outcome for the Holy Roman Emperor and his allies:

Frederick V, Elector Palatine flees Bohemia
Ferdinand II, Holy Roman Emperor regains Bohemian throne
Restoration of Habsburg control",D
Battle_of_White_Mountain,Jindřich Matyáš Thurn,L,"Decisive victory for Ferdinand II, Holy Roman Emperor and his Catholic allies

Outcome:

Bohemian Revolt ended
Denmark and Sweden join the Thirty Years' War

Outcome for the Bohemian Estates:

Heavy material losses, big reduction in farmsteads
Substantial decline of the population
Forced conversion to Roman Catholicism
Eradication of Protestantism
Decline of the Czech language
German established as the main language of Bohemian aristocracy
Old Town Square execution
Bohemian aristocracy partly exiled to Protestant countries

Outcome for the Holy Roman Emperor and his allies:

Frederick V, Elector Palatine flees Bohemia
Ferdinand II, Holy Roman Emperor regains Bohemian throne
Restoration of Habsburg control",D
Battle_of_White_Mountain,"Charles Bonaventure de Longueval, Count of Bucquoy",R,"Decisive victory for Ferdinand II, Holy Roman Emperor and his Catholic allies

Outcome:

Bohemian Revolt ended
Denmark and Sweden join the Thirty Years' War

Outcome for the Bohemian Estates:

Heavy material losses, big reduction in farmsteads
Substantial decline of the population
Forced conversion to Roman Catholicism
Eradication of Protestantism
Decline of the Czech language
German established as the main language of Bohemian aristocracy
Old Town Square execution
Bohemian aristocracy partly exiled to Protestant countries

Outcome for the Holy Roman Emperor and his allies:

Frederick V, Elector Palatine flees Bohemia
Ferdinand II, Holy Roman Emperor regains Bohemian throne
Restoration of Habsburg control",V
Battle_of_White_Mountain,"Johann Tserclaes, Count of Tilly",R,"Decisive victory for Ferdinand II, Holy Roman Emperor and his Catholic allies

Outcome:

Bohemian Revolt ended
Denmark and Sweden join the Thirty Years' War

Outcome for the Bohemian Estates:

Heavy material losses, big reduction in farmsteads
Substantial decline of the population
Forced conversion to Roman Catholicism
Eradication of Protestantism
Decline of the Czech language
German established as the main language of Bohemian aristocracy
Old Town Square execution
Bohemian aristocracy partly exiled to Protestant countries

Outcome for the Holy Roman Emperor and his allies:

Frederick V, Elector Palatine flees Bohemia
Ferdinand II, Holy Roman Emperor regains Bohemian throne
Restoration of Habsburg control",V
Battle_of_Cecora_(1620),Stanisław Żółkiewski,L,Decisive Ottoman victory[1],D
Battle_of_Cecora_(1620),Stanisław Koniecpolski,L,Decisive Ottoman victory[1],D
Battle_of_Cecora_(1620),Gaspar Graziani,L,Decisive Ottoman victory[1],D
Battle_of_Cecora_(1620),Iskender Pasha (governor of Ozi),R,Decisive Ottoman victory[1],V
Battle_of_Cecora_(1620),Khan Temir,R,Decisive Ottoman victory[1],V
Battle_of_Cecora_(1620),Gabriel Bethlen,R,Decisive Ottoman victory[1],V
Battle_of_Khotyn_(1621),Hetman,L,Polish-Lithuanian Commonwealth victory[1],V
Battle_of_Khotyn_(1621),Jan Karol Chodkiewicz,L,Polish-Lithuanian Commonwealth victory[1],V
Battle_of_Khotyn_(1621),Regimentarz,L,Polish-Lithuanian Commonwealth victory[1],V
Battle_of_Khotyn_(1621),Stanisław Lubomirski (1583–1649),L,Polish-Lithuanian Commonwealth victory[1],V
Battle_of_Khotyn_(1621),Władysław IV Vasa,L,Polish-Lithuanian Commonwealth victory[1],V
Battle_of_Khotyn_(1621),Hetmans of Ukrainian Cossacks,L,Polish-Lithuanian Commonwealth victory[1],V
Battle_of_Khotyn_(1621),Petro Konashevych-Sahaidachny,L,Polish-Lithuanian Commonwealth victory[1],V
Battle_of_Khotyn_(1621),Sultan,R,Polish-Lithuanian Commonwealth victory[1],D
Battle_of_Khotyn_(1621),Osman II,R,Polish-Lithuanian Commonwealth victory[1],D
Battle_of_Khotyn_(1621),Grand vizier,R,Polish-Lithuanian Commonwealth victory[1],D
Battle_of_Khotyn_(1621),Ohrili Hüseyin Pasha,R,Polish-Lithuanian Commonwealth victory[1],D
Battle_of_Khotyn_(1621),Khan Temir,R,Polish-Lithuanian Commonwealth victory[1],D
Battle_of_Mingolsheim,Ernst von Mansfeld,L,Protestant tactical victory; strategic Catholic success (Tilly joins Córdoba),I
Battle_of_Mingolsheim,"Georg Friedrich, Margrave of Baden-Durlach",L,Protestant tactical victory; strategic Catholic success (Tilly joins Córdoba),I
Battle_of_Mingolsheim,"Johann Tserclaes, Count of Tilly",R,Protestant tactical victory; strategic Catholic success (Tilly joins Córdoba),I
Battle_of_Wimpfen,"Georg Friedrich, Margrave of Baden-Durlach",L,Catholic victory,D
Battle_of_Wimpfen,"Johann Tserclaes, Count of Tilly",R,Catholic victory,V
Battle_of_Wimpfen,Gonzalo Fernández de Córdoba (1585–1645),R,Catholic victory,V
Battle_of_Höchst,Christian the Younger of Brunswick,L,Strategic Catholic victory,D
Battle_of_Höchst,"Johann Tserclaes, Count of Tilly",R,Strategic Catholic victory,V
Battle_of_Höchst,Gonzalo Fernández de Córdoba (1585–1645),R,Strategic Catholic victory,V
Battle_of_Fleurus_(1622),Ernst von Mansfeld,L,Spanish victory,D
Battle_of_Fleurus_(1622),Christian the Younger of Brunswick,L,Spanish victory,D
Battle_of_Fleurus_(1622),Gonzalo Fernández de Córdoba (1585–1645),R,Spanish victory,V
Battle_of_Stadtlohn,Christian the Younger of Brunswick,L,Decisive Catholic victory,D
Battle_of_Stadtlohn,"Johann Tserclaes, Count of Tilly",R,Decisive Catholic victory,V
Capture_of_Bahia,Jacob Willekens,L,Dutch victory,V
Capture_of_Bahia,Piet Pieterszoon Hein,L,Dutch victory,V
Capture_of_Bahia,Diogo de Mendonça Furtado,R,Dutch victory,D
Siege_of_Breda_(1624),"Maurice, Prince of Orange",L,Spanish victory[1][2],D
Siege_of_Breda_(1624),Justinus van Nassau,L,Spanish victory[1][2],D
Siege_of_Breda_(1624),"Horace Vere, 1st Baron Vere of Tilbury",L,Spanish victory[1][2],D
Siege_of_Breda_(1624),Ernst von Mansfeld,L,Spanish victory[1][2],D
Siege_of_Breda_(1624),"Ambrogio Spinola, 1st Marquis of the Balbases",R,Spanish victory[1][2],V
Siege_of_Breda_(1624),Carlos Coloma,R,Spanish victory[1][2],V
Recapture_of_Bahia,"Fadrique de Toledo, 1st Marquis of Villanueva de Valdueza",L,Spanish-Portuguese victory,V
Recapture_of_Bahia,Willem Schoutens,R,Spanish-Portuguese victory,D
Recapture_of_Bahia,Hans Kyff,R,Spanish-Portuguese victory,D
Battle_of_Wallhof,Gustavus Adolphus of Sweden,L,Swedish victory,V
Battle_of_Wallhof,Jan Stanisław Sapieha,R,Swedish victory,D
Battle_of_Lutter_am_Berenberge,Christian IV of Denmark,L,Decisive Imperial victory,D
Battle_of_Lutter_am_Berenberge,"Johann Tserclaes, Count of Tilly",R,Decisive Imperial victory,V
Battle_of_Dirschau,Stanisław Koniecpolski,L,"Inconclusive:[1]
Swedish tactical victory[2]
Polish–Lithuanian strategic victory[3]",I
Battle_of_Dirschau,Gustavus Adolphus of Sweden,R,"Inconclusive:[1]
Swedish tactical victory[2]
Polish–Lithuanian strategic victory[3]",I
Siege_of_Groenlo_(1627),"Frederick Henry, Prince of Orange",L,Dutch victory,V
Siege_of_Groenlo_(1627),Matthijs Dulken,R,Dutch victory,D
Siege_of_Groenlo_(1627),Hendrik van den Bergh (count),R,Dutch victory,D
Battle_of_Oliwa,Arend Dickmann,L,Polish victory,V
Battle_in_the_Bay_of_Matanzas,Piet Pieterszoon Hein,L,"Dutch victory

Capture of the Spanish treasure fleet by the Dutch",V
Battle_in_the_Bay_of_Matanzas,Witte Corneliszoon de With,L,"Dutch victory

Capture of the Spanish treasure fleet by the Dutch",V
Battle_of_Górzno,Herman Wrangel,L,Swedish victory,V
Battle_of_Górzno,"Stanisław ""Rewera"" Potocki",R,Swedish victory,D
Battle_of_Trzciana,Stanisław Koniecpolski,L,Polish victory,V
Battle_of_Trzciana,Hans Georg von Arnim-Boitzenburg,L,Polish victory,V
Battle_of_Trzciana,Gustavus Adolphus of Sweden,R,Polish victory,D
Siege_of_'s-Hertogenbosch,Anthonie II Schetz,L,Dutch victory,D
Siege_of_'s-Hertogenbosch,"Frederick Henry, Prince of Orange",R,Dutch victory,V
Siege_of_'s-Hertogenbosch,"Horace Vere, 1st Baron Vere of Tilbury",R,Dutch victory,V
Sack_of_Magdeburg,Gottfried Heinrich Graf zu Pappenheim,L,Destruction of the city,V
Sack_of_Magdeburg,"Johann Tserclaes, Count of Tilly",L,Destruction of the city,V
Sack_of_Magdeburg,Dietrich von Falkenberg,R,Destruction of the city,D
Sack_of_Magdeburg,Christian Wilhelm von Brandenburg,R,Destruction of the city,D
Battle_of_Albrolhos,Antonio de Oquendo,L,Spanish-Portuguese victory[1],V
Battle_of_Albrolhos,Mårten Anckarhielm,R,Spanish-Portuguese victory[1],D
Battle_of_Breitenfeld_(1631),Gustavus Adolphus of Sweden,L,Decisive Swedish victory,V
Battle_of_Breitenfeld_(1631),"Gustav Horn, Count of Pori",L,Decisive Swedish victory,V
Battle_of_Breitenfeld_(1631),Hans Georg von Arnim-Boitzenburg,L,Decisive Swedish victory,V
Battle_of_Breitenfeld_(1631),"Robert Munro, 18th Baron of Foulis",L,Decisive Swedish victory,V
Battle_of_Breitenfeld_(1631),"John George I, Elector of Saxony",L,Decisive Swedish victory,V
Battle_of_Breitenfeld_(1631),Johan Banér,L,Decisive Swedish victory,V
Battle_of_Breitenfeld_(1631),"Johann Tserclaes, Count of Tilly",R,Decisive Swedish victory,D
Battle_of_Breitenfeld_(1631),Gottfried Heinrich Graf zu Pappenheim,R,Decisive Swedish victory,D
Battle_of_Breitenfeld_(1631),"Friedrich, Count von Fürstenburg",R,Decisive Swedish victory,D
Battle_of_Breitenfeld_(1631),"Egon VII, Count of Fürstenberg",R,Decisive Swedish victory,D
Battle_of_the_Slaak,"Francisco de Moncada, 3rd Marquis of Aitona",L,Decisive Dutch victory[1],D
Battle_of_the_Slaak,"John VIII, Count of Nassau-Siegen",L,Decisive Dutch victory[1],D
Battle_of_the_Slaak,Marinus Hollare,R,Decisive Dutch victory[1],V
Battle_of_Rain,Gustavus Adolphus of Sweden,L,Decisive Swedish victory,V
Battle_of_Rain,"Johann Tserclaes, Count of Tilly",R,Decisive Swedish victory,D
Battle_of_Rain,Johann Philipp Kratz von Scharffenstein,R,Decisive Swedish victory,D
Capture_of_Maastricht,Guillaume de Bette,L,Dutch victory,D
Capture_of_Maastricht,Lelio Brancaccio,L,Dutch victory,D
Capture_of_Maastricht,Gonzalo Fernández de Córdoba (1585–1645),L,Dutch victory,D
Capture_of_Maastricht,Gottfried Heinrich Graf zu Pappenheim,L,Dutch victory,D
Capture_of_Maastricht,"Frederick Henry, Prince of Orange",R,Dutch victory,V
Capture_of_Maastricht,"Horace Vere, 1st Baron Vere of Tilbury",R,Dutch victory,V
Battle_of_Lützen_(1632),Sweden,L,Swedish victory,V
Battle_of_Lützen_(1632),Gustavus Adolphus of Sweden,L,Swedish victory,V
Battle_of_Lützen_(1632),Dodo zu Innhausen und Knyphausen,L,Swedish victory,V
Battle_of_Lützen_(1632),Bernard of Saxe-Weimar,L,Swedish victory,V
Battle_of_Lützen_(1632),"Robert Munro, 18th Baron of Foulis",L,Swedish victory,V
Battle_of_Lützen_(1632),Albrecht von Wallenstein,R,Swedish victory,D
Battle_of_Lützen_(1632),Heinrich Holk,R,Swedish victory,D
Battle_of_Lützen_(1632),Gottfried Heinrich Graf zu Pappenheim,R,Swedish victory,D
Battle_of_Liaoluo_Bay,Zheng Zhilong,L,Ming victory,V
Battle_of_Liaoluo_Bay,Hans Putmans,R,Ming victory,D
Battle_of_Liaoluo_Bay,Liu Xiang (pirate),R,Ming victory,D
Battle_of_Liaoluo_Bay,Li Guozhu,R,Ming victory,D
Battle_of_Nördlingen_(1634),"Gustav Horn, Count of Pori",L,Decisive Imperial-Spanish victory[1],D
Battle_of_Nördlingen_(1634),Bernard of Saxe-Weimar,L,Decisive Imperial-Spanish victory[1],D
Battle_of_Nördlingen_(1634),Johann Philipp Kratz von Scharffenstein,L,Decisive Imperial-Spanish victory[1],D
Battle_of_Nördlingen_(1634),"Ferdinand III, Holy Roman Emperor",R,Decisive Imperial-Spanish victory[1],V
Battle_of_Nördlingen_(1634),Cardinal-Infante Ferdinand of Austria,R,Decisive Imperial-Spanish victory[1],V
Battle_of_Wittstock,Johan Banér,L,Decisive Swedish victory,V
Battle_of_Wittstock,Lennart Torstensson,L,Decisive Swedish victory,V
Battle_of_Wittstock,"James King, 1st Lord Eythin",L,Decisive Swedish victory,V
Battle_of_Wittstock,"Alexander Leslie, 1st Earl of Leven",L,Decisive Swedish victory,V
Battle_of_Wittstock,Melchior von Hatzfeldt,R,Decisive Swedish victory,D
Battle_of_Wittstock,Rodolfo Giovanni Marazzino,R,Decisive Swedish victory,D
Battle_of_Wittstock,"John George I, Elector of Saxony",R,Decisive Swedish victory,D
Siege_of_Breda_(1637),"Frederick Henry, Prince of Orange",L,Dutch victory,V
Siege_of_Breda_(1637),Cardinal-Infante Ferdinand of Austria,R,Dutch victory,D
Battle_of_Kallo,William of Nassau-Hilchenbach,L,Decisive Spanish victory[1][2],V
Battle_of_Kallo,Cardinal-Infante Ferdinand of Austria,R,Decisive Spanish victory[1][2],D
Battle_of_the_Downs,Antonio de Oquendo,L,Decisive Dutch victory,D
Battle_of_the_Downs,Maarten Tromp,R,Decisive Dutch victory,V
Capture_of_Luanda,Cornelis Jol,L,Dutch victory,V
Battle_of_Honnecourt,Antoine III de Gramont,L,Spanish victory,D
Battle_of_Honnecourt,Francisco de Melo,R,Spanish victory,V
Battle_of_Edgehill,Charles I of England,L,"Inconclusive

Tactically inconlusive
Parliamentarian army withdraws, leaving the Royalists in command of the field
Royalist strategic initiative",I
Battle_of_Edgehill,Prince Rupert of the Rhine,L,"Inconclusive

Tactically inconlusive
Parliamentarian army withdraws, leaving the Royalists in command of the field
Royalist strategic initiative",I
Battle_of_Edgehill,"Patrick Ruthven, 1st Earl of Forth",L,"Inconclusive

Tactically inconlusive
Parliamentarian army withdraws, leaving the Royalists in command of the field
Royalist strategic initiative",I
Battle_of_Edgehill,"Jacob Astley, 1st Baron Astley of Reading",L,"Inconclusive

Tactically inconlusive
Parliamentarian army withdraws, leaving the Royalists in command of the field
Royalist strategic initiative",I
Battle_of_Edgehill,"Henry Wilmot, 1st Earl of Rochester",L,"Inconclusive

Tactically inconlusive
Parliamentarian army withdraws, leaving the Royalists in command of the field
Royalist strategic initiative",I
Battle_of_Edgehill,"Robert Devereux, 3rd Earl of Essex",R,"Inconclusive

Tactically inconlusive
Parliamentarian army withdraws, leaving the Royalists in command of the field
Royalist strategic initiative",I
Battle_of_Edgehill,"Basil Feilding, 2nd Earl of Denbigh",R,"Inconclusive

Tactically inconlusive
Parliamentarian army withdraws, leaving the Royalists in command of the field
Royalist strategic initiative",I
Battle_of_Breitenfeld_(1642),Lennart Torstensson,L,Swedish victory,V
Battle_of_Breitenfeld_(1642),Torsten Stålhandske,L,Swedish victory,V
Battle_of_Breitenfeld_(1642),Kaspar Kornelius Mortaigne de Potelles,L,Swedish victory,V
Battle_of_Breitenfeld_(1642),Archduke Leopold Wilhelm of Austria,R,Swedish victory,D
Battle_of_Breitenfeld_(1642),Ottavio Piccolomini,R,Swedish victory,D
Battle_of_Brentford_(1642),Prince Rupert of the Rhine,L,Royalist victory,V
Battle_of_Brentford_(1642),John Lilburne,R,Royalist victory,D
Battle_of_Rocroi,"Louis, Grand Condé",L,Decisive French victory,V
Battle_of_Rocroi,Francisco de Melo,R,Decisive French victory,D
Battle_of_Adwalton_Moor,"William Cavendish, 1st Duke of Newcastle",L,Royalist Victory,V
Battle_of_Adwalton_Moor,Thomas Fairfax,R,Royalist Victory,D
Battle_of_Lansdowne,William Waller,L,Pyrrhic Royalist victory,D
Battle_of_Lansdowne,"Ralph Hopton, 1st Baron Hopton",R,Pyrrhic Royalist victory,V
Battle_of_Lansdowne,Bevil Grenville,R,Pyrrhic Royalist victory,V
Battle_of_Roundway_Down,William Waller,L,Royalist victory,D
Battle_of_Roundway_Down,Arthur Haselrig,L,Royalist victory,D
Battle_of_Roundway_Down,"Ralph Hopton, 1st Baron Hopton",R,Royalist victory,V
Battle_of_Roundway_Down,"Henry Wilmot, 1st Earl of Rochester",R,Royalist victory,V
First_Battle_of_Newbury,Charles I of England,L,"Decisive Royalist defeat

Long-term Parliamentarian strategic initiative
Tactically inconclusive",D
First_Battle_of_Newbury,Prince Rupert of the Rhine,L,"Decisive Royalist defeat

Long-term Parliamentarian strategic initiative
Tactically inconclusive",D
First_Battle_of_Newbury,"John Byron, 1st Baron Byron",L,"Decisive Royalist defeat

Long-term Parliamentarian strategic initiative
Tactically inconclusive",D
First_Battle_of_Newbury,"Robert Devereux, 3rd Earl of Essex",R,"Decisive Royalist defeat

Long-term Parliamentarian strategic initiative
Tactically inconclusive",V
First_Battle_of_Newbury,Philip Stapleton,R,"Decisive Royalist defeat

Long-term Parliamentarian strategic initiative
Tactically inconclusive",V
Battle_of_Ochmatów_(1644),Stanisław Koniecpolski,L,Polish victory,V
Battle_of_Ochmatów_(1644),Tugay Bey,R,Polish victory,D
Battle_of_Cropredy_Bridge,William Waller,L,Royalist victory,D
Battle_of_Cropredy_Bridge,Charles I of England,R,Royalist victory,V
Battle_of_Marston_Moor,"Alexander Leslie, 1st Earl of Leven",L,Decisive Parliamentarian - Covenanter victory,V
Battle_of_Marston_Moor,"David Leslie, 1st Lord Newark",L,Decisive Parliamentarian - Covenanter victory,V
Battle_of_Marston_Moor,William Baillie (soldier),L,Decisive Parliamentarian - Covenanter victory,V
Battle_of_Marston_Moor,"Edward Montagu, 2nd Earl of Manchester",L,Decisive Parliamentarian - Covenanter victory,V
Battle_of_Marston_Moor,"Ferdinando Fairfax, 2nd Lord Fairfax of Cameron",L,Decisive Parliamentarian - Covenanter victory,V
Battle_of_Marston_Moor,Oliver Cromwell,L,Decisive Parliamentarian - Covenanter victory,V
Battle_of_Marston_Moor,Thomas Fairfax,L,Decisive Parliamentarian - Covenanter victory,V
Battle_of_Marston_Moor,Prince Rupert of the Rhine,R,Decisive Parliamentarian - Covenanter victory,D
Battle_of_Marston_Moor,"William Cavendish, 1st Duke of Newcastle",R,Decisive Parliamentarian - Covenanter victory,D
Battle_of_Marston_Moor,"John Byron, 1st Baron Byron",R,Decisive Parliamentarian - Covenanter victory,D
Battle_of_Marston_Moor,"George Goring, Lord Goring",R,Decisive Parliamentarian - Covenanter victory,D
Battle_of_Marston_Moor,Charles Lucas,R,Decisive Parliamentarian - Covenanter victory,D
Battle_of_Marston_Moor,"James King, 1st Lord Eythin",R,Decisive Parliamentarian - Covenanter victory,D
Battle_of_Freiburg,"Louis, Grand Condé",L,"Tactical French victory, strategically indecisive[1]",V
Battle_of_Freiburg,"Henri de la Tour d'Auvergne, Vicomte de Turenne",L,"Tactical French victory, strategically indecisive[1]",V
Battle_of_Freiburg,Franz von Mercy,R,"Tactical French victory, strategically indecisive[1]",D
Battle_of_Tippermuir,"James Graham, 1st Marquess of Montrose",L,Royalist Victory,V
Battle_of_Tippermuir,Alasdair Mac Colla,L,Royalist Victory,V
Battle_of_Tippermuir,"James Baeg Stewart, 2nd Laird of Ardvorlich",L,Royalist Victory,V
Battle_of_Tippermuir,"John Wemyss, 1st Earl of Wemyss",R,Royalist Victory,D
Battle_of_Aberdeen_(1644),"James Graham, 1st Marquess of Montrose",L,Royalist Victory,V
Battle_of_Aberdeen_(1644),Alasdair Mac Colla,L,Royalist Victory,V
Battle_of_Aberdeen_(1644),Sir William Rollo,L,Royalist Victory,V
Battle_of_Aberdeen_(1644),Lord Balfour of Burleigh,R,Royalist Victory,D
Battle_of_Aberdeen_(1644),"Lewis Gordon, 3rd Marquess of Huntly",R,Royalist Victory,D
Second_Battle_of_Newbury,"Robert Devereux, 3rd Earl of Essex",L,"Indecisive

Tactically inconclusive
Royalist strategic initiative; Charles withdraws unimpeded
Subsequent Parliamentarian political initiatives, resulting in the formation of the New Model Army",I
Second_Battle_of_Newbury,"Edward Montagu, 2nd Earl of Manchester",L,"Indecisive

Tactically inconclusive
Royalist strategic initiative; Charles withdraws unimpeded
Subsequent Parliamentarian political initiatives, resulting in the formation of the New Model Army",I
Second_Battle_of_Newbury,William Waller,L,"Indecisive

Tactically inconclusive
Royalist strategic initiative; Charles withdraws unimpeded
Subsequent Parliamentarian political initiatives, resulting in the formation of the New Model Army",I
Second_Battle_of_Newbury,Charles I of England,R,"Indecisive

Tactically inconclusive
Royalist strategic initiative; Charles withdraws unimpeded
Subsequent Parliamentarian political initiatives, resulting in the formation of the New Model Army",I
Second_Battle_of_Newbury,Maurice of the Palatinate,R,"Indecisive

Tactically inconclusive
Royalist strategic initiative; Charles withdraws unimpeded
Subsequent Parliamentarian political initiatives, resulting in the formation of the New Model Army",I
Battle_of_Jüterbog,Lennart Torstensson,L,Swedish victory,V
Battle_of_Jüterbog,Matthias Gallas,R,Swedish victory,D
Battle_of_Inverlochy_(1645),"James Graham, 1st Marquess of Montrose",L,Royalist Victory,V
Battle_of_Inverlochy_(1645),Alasdair Mac Colla,L,Royalist Victory,V
Battle_of_Jankau,Lennart Torstensson,L,Decisive Swedish victory,V
Battle_of_Jankau,Kaspar Kornelius Mortaigne de Potelles,L,Decisive Swedish victory,V
Battle_of_Jankau,Melchior von Hatzfeldt,R,Decisive Swedish victory,D
Battle_of_Jankau,Johann von Götzen,R,Decisive Swedish victory,D
Siege_of_Hulst,"Frederick Henry, Prince of Orange",L,Dutch victory,V
Battle_of_Auldearn,"James Graham, 1st Marquess of Montrose",L,Royalist Victory,V
Battle_of_Auldearn,Alasdair Mac Colla,L,Royalist Victory,V
Battle_of_Auldearn,Manus O'Cahan's Regiment,L,Royalist Victory,V
Battle_of_Auldearn,John Urry (soldier),R,Royalist Victory,D
Battle_of_Naseby,Thomas Fairfax,L,Decisive Parliamentarian victory,V
Battle_of_Naseby,Oliver Cromwell,L,Decisive Parliamentarian victory,V
Battle_of_Naseby,Henry Ireton,L,Decisive Parliamentarian victory,V
Battle_of_Naseby,Philip Skippon,L,Decisive Parliamentarian victory,V
Battle_of_Naseby,Charles I of England,R,Decisive Parliamentarian victory,D
Battle_of_Naseby,Prince Rupert of the Rhine,R,Decisive Parliamentarian victory,D
Battle_of_Naseby,"Jacob Astley, 1st Baron Astley of Reading",R,Decisive Parliamentarian victory,D
