Battle,Date,belligerent,own,pos,VorD,Infantry,Cavalry,Artillery,Ships,Airforce,Special
Attack_on_Sydney_Harbour,31 May – 8 June 1942,Hankyu Sasaki,"5 fleet submarines,   3 midget submarines,   2 seaplanes",R,I,,,,8,2,
Battle at Machhiwara,1555,Humayun,unknown,L,V,1,,,,,
"Battle of ""The Saw""",238 BC,Autaritus,"50,000 infantry",R,D,50000,,,,,
"Battle of ""The Saw""",238 BC,Hamilcar Barca,"10,000 infantry,   2,000 cavalry",L,V,10000,2000,,,,
Battle of 'Ayn al-Warda,January 685,Husayn ibn Numayr al-Sakuni,"20,000",L,V,20000,,,,,
Battle of Aanandapuram,29 March – 5 April 2009[1],Colonel,Sri Lanka Army:   58 Division   53 Division   Task Force 8[2],L,V,111,,,,,
Battle of Aanandapuram,29 March – 5 April 2009[1],Pottu Amman (Tamil militant),?,R,D,1,,,,,
Battle of Abrittus,"July or August, 251",Cniva,unknown,R,V,1,,,,,
Battle of Abydos,November 411 BC,Mindarus,97 ships,R,D,,,,97,,
Battle of Abydos,November 411 BC,Thrasybulus,74 ships + 18 ships (reinforcement),L,V,,,,92,,
Battle of Acheloos,20 August 917,Leo Phokas the Elder,"62,000[2]",R,D,62000,,,,,
Battle of Acheloos,20 August 917,Simeon I of Bulgaria,"60,000[1]",L,V,60000,,,,,
Battle of Actium,2 September 31 BC,Gaius Sosius,"290 galleys   30–50 Transports   20,000 infantry   2,000 archers",R,D,22000,,,290,,
Battle of Actium,2 September 31 BC,Lucius Arruntius the Elder,"250 galleys   16,000 infantry   3,000 archers.",L,V,19000,,,250,,
Battle of Ad Decimum,"September 13, 533",Gelimer,"11,000 men",R,D,11000,,,,,
Battle of Ad Decimum,"September 13, 533",Belisarius,"15,000 men",L,V,15000,,,,,
Battle of Adrianople (1205),"April 14, 1205",Kaloyan of Bulgaria,"Around 40,000 Bulgarian troops - infantry, cavalry and archers.   Around 14,000 Cuman light and missile cavalry.[1]",L,V,40000,,,,,
Battle of Adrianople (1205),"April 14, 1205","Baldwin I, Latin Emperor","Unknown, probably several tens of thousands. Certain number - 300 West European heavy mounted knights, mainly from France.",R,D,40000,,,,,
Battle of Adrianople (324),"July 3, 324",Licinius,"165,000[1]",R,D,165000,,,,,
Battle of Adrianople (324),"July 3, 324",Constantine the Great,"130,000[1]",L,V,130000,,,,,
Battle of Adrianople (378),9 August 378,Alatheus,"12,000-15,000[3] or   80,000-100,000[4]",R,V,51750,,,,,
Battle of Adrianople (378),9 August 378,Valens,"15,000-20,000[1] or   25,000-30,000[2]",L,D,22500,,,,,
Battle of Adys,Early 255 BC,Hasdrubal,"5,000+ Infantry   500 Cavalry   unknown number of elephants",R,D,5000,500,,,,5
Battle of Adys,Early 255 BC,Marcus Atilius Regulus,"15,000 Infantry   500 Cavalry",L,V,15000,500,,,,
Battle of Aegospotami,405 BC,Lysander,170 ships[1],L,V,,,,170,,
Battle of Aegospotami,405 BC,Conon,180 ships,R,D,,,,180,,
Battle of Affane,February 1565,"Gerald FitzGerald, 15th Earl of Desmond","c.180 horse, 3-400 heavy infantry, hundreds more lightly armed infantry.",L,D,350,180,,,,
Battle of Ager Falernus,Summer 217 BC,Hannibal,"2,000 infantry,   2,000 Oxen,   2,000 Camp Followers",L,V,2000,,,,,
Battle of Ager Falernus,Summer 217 BC,Quintus Fabius Maximus Verrucosus,"4,000 infantry, plus reserves",R,D,4000,,,,,
Battle of Ager Sanguinis,"June 28, 1119",Ilghazi,"40,000[2]",R,V,40000,,,,,
Battle of Ager Sanguinis,"June 28, 1119",Roger of Salerno,Unknown Antioch troops   500 Armenian cavalry[1],L,D,1,,,,,
Battle of Agincourt,25 October 1415 (Saint Crispin's Day),Henry V of England,"Modern estimates range from 6,000[1] to 9,000[2]   (see Numbers at Agincourt.) About  5⁄6 longbowmen,  1⁄6 dismounted knights and men-at-arms in heavy armour.",L,V,7500,,,,,
Battle of Agincourt,25 October 1415 (Saint Crispin's Day),Jean Le Maingre,"Modern estimates range from 12,000 (outnumbering the English 4–3).[2] to 36,000 (outnumbering the English 6–1;[3] see Numbers at Agincourt.)   About 10,000 knights and men-at-arms (of which about 1,200 were mounted), unknown thousands of other infantry, crossbowmen and archers.",R,D,24000,,,,,
Battle of Agnadello,14 May 1509,Charles II d'Amboise,"30,000[2]",L,V,30000,,,,,
Battle of Agnadello,14 May 1509,Bartolomeo d'Alviano,"8,000[2]",R,D,8000,,,,,
Battle of Agrigentum,262 BC,"Hanno, son of Hannibal","50,000   Plus the garrison of Agrigentum",R,D,50000,,,,,
Battle of Agrigentum,262 BC,Lucius Postumius Megellus (consul 262 BC),"40,000",L,V,40000,,,,,
Battle of Ain Jalut,3 September 1260,Kitbuqa,"One Mongol detachment of about 10,000-12,000[1][2]   20,000 (two tumen) according to Muslim sources",R,D,11000,,,,,
Battle of Ain Jalut,3 September 1260,Baibars,"Unknown; most sources (mainly European) agree or at least note that it was probably numerically much larger than the Mongol force[2]   Muslim sources state 20,000 Mamelukes[citation needed]",L,V,20000,,,,,
Battle of Ajnadayn,July/August 634,Khalid ibn al-Walid,"max. 10,000[2] – ca. 20,000[3]",R,V,15000,,,,,
Battle of Ajnadayn,July/August 634,Theodore (brother of Heraclius),"max. 10,000[2] – ca. 20,000[3]",L,D,15000,,,,,
Battle of Akraba,December 632,Musaylimah,"40,000",R,D,40000,,,,,
Battle of Akraba,December 632,Abu Dujana,"13,000",L,V,13000,,,,,
Battle of Akroinon,740 AD,Abdallah al-Battal,"20,000[1][2]",L,D,20000,,,,,
Battle of Alarcos,"July 18, 1195",Alfonso VIII of Castile,Order of Évora   Order of Santiago,L,D,1,,,,,
Battle of Alarcos,"July 18, 1195",Pedro Fernández de Castro (died 1214),Marinid volunteers   Zenata Archers   Hintata   Andalusian Forces,R,V,1,,,,,
Battle of Alasay,14–23 March 2009,Lt Colonel Sean D Wester (USMC),400 Chasseurs Alpins    400 men from the 1st Kandak,L,V,800,,,,,
Battle of Alcazarquivir,4 August 1578,Ahmad al-Mansur,"60,000-100,000 men[2]",R,V,80000,,,,,
Battle of Alcazarquivir,4 August 1578,Abu Abdallah Mohammed II Saadi,"18,000[1]-23,000 Europeans[2] (including:   2,000 Castilian volunteers   600 Italian volunteers   3,000 mercenaries from Flanders and Germany)   6,000 Moors   40 cannons",L,D,26500,,40,,,
Battle of Alcântara (1580),25 August 1580,"Francisco de Portugal, 3rd Count of Vimioso","8,000 infantry[3]   500 cavalry[4]   30 guns",L,D,8000,500,30,,,
Battle of Alcântara (1580),25 August 1580,Sancho d'Avila,"13,000 infantry[5]   1,800 cavalry   22 guns",R,V,13000,1800,22,,,
Battle of Alesia,September 52 BC,Commius,"80,000 besieged,   120,000–250,000 relief forces, modern estimates: 100,000[1]",R,D,100000,,,,,
Battle of Alesia,September 52 BC,Julius Caesar,"60,000[citation needed] (12 legions with cavalry and auxiliaries)",L,V,60000,,,,,
Battle of Alexandria (30 BC),"July 31-August 1, 30 BC",Marcus Vipsanius Agrippa,"30,000",R,V,30000,,,,,
Battle of Alexandria (30 BC),"July 31-August 1, 30 BC",Mark Antony,"12,000",L,D,12000,,,,,
Battle of Alfarrobeira,20 May 1449,"Afonso I, Duke of Braganza","30,000 men[2]",L,V,30000,,,,,
Battle of Alfarrobeira,20 May 1449,"Peter, Duke of Coimbra","6,000 men:[3]      5,000 infantry   1,000 cavalry",R,D,5000,1000,,,,
Battle of Aljubarrota,14 August 1385,Nuno Álvares Pereira,"About 6,600 men:[1]      4,000 foot soldiers   1,700 lances   800 crossbowmen   100 English longbowmen",L,V,4900,1700,,,,
Battle of Aljubarrota,14 August 1385,John I of Castile,"About 31,000 men:[1]      15,000 foot soldiers   6,000 lances   8,000 crossbowmen   More than 2,000 French heavy knights   15 mortars",R,D,23000,8000,15,,,
Battle of Alltan-Beath,1542,"Donald Mackay, 11th of Strathnaver","""A company of men""",R,D,1,,,,,
Battle of Alnwick (1174),13 July 1174,William the Lion,~60,L,D,60,,,,,
Battle of Alnwick (1174),13 July 1174,Ranulf de Glanvill,~400,R,V,400,,,,,
Battle of Amida,359,Aelianus (comes),"Legio V Parthica (garrison force)   Legio XXX Ulpia   Legio X Fretensis   Superventores,   Praeventores   Comites Sagittarii (Household mounted archers)   Legions from Gaul loyal to Magnentius",L,D,1,,,,,
Battle of Amida,359,Shapur II,Sassanid army   Xionites   Gelani   Albani   Segestani,R,V,1,,,,,
Battle of Amphipolis,422 BC,Brasidas,"About 2,500",R,V,2500,,,,,
Battle of Amphipolis,422 BC,Thucydides,"About 2,000",L,D,2000,,,,,
Battle of Anchialus (763),30 June 763,Constantine V,"9,600 cavalrymen &   unknown infantry   800 ships",R,V,1,,,,,
Battle of Ancrum Moor,27 February 1545 [1],Brian Layton,"3,000 mercenary Reiters   1,500 English Border Reivers   700 Scots Border Reivers",R,D,5200,,,,,
Battle of Ancrum Moor,27 February 1545 [1],"James Hamilton, Duke of Châtellerault","approx 2,500",L,V,2500,,,,,
Battle of Andros (246 BC),246/245 BC,Sophron of Ephesus,numerically superior,R,D,2,,,,,
Battle of Andros (246 BC),246/245 BC,Antigonus II Gonatas,numerically inferior,L,V,1,,,,,
Battle of Anegawa,30 July 1570,Oda Nobunaga,"28,000",L,V,28000,,,,,
Battle of Anegawa,30 July 1570,Asakura Yoshikage,"18,000 [1]",R,D,18000,,,,,
Battle of Angora,20 July 1402,Stefan Lazarević,"85,000",R,D,85000,,,,,
Battle of Angora,20 July 1402,Pir Muhammad ibn Jahangir,"140,000",L,V,140000,,,,,
Battle of Antioch (218),8 June 218,Gannys,Legio III Gallica   Legio II Parthica   Other rebels,R,V,1,,,,,
Battle of Antukyah,1531,Ahmad ibn Ibrahim al-Ghazi,"12,000 men   500 horses[1]",L,V,12000,500,,,,
Battle of Antukyah,1531,Eslamu,"100,000 men   600 horses",R,D,100000,600,,,,
Battle of Anzen,22 July 838 (838-07-22),Khaydhar ibn Kawus al-Afshin,"20,000[3]–30,000[2]",R,V,25000,,,,,
Battle of Anzen,22 July 838 (838-07-22),Manuel the Armenian,"25,000[1]–40,000[2]",L,D,32500,,,,,
Battle of Apamea,19 July 998,Jaysh ibn Samsama,"10,000 Fatimid troops   1,000 Banu Kilab cavalry",R,V,10000,1000,,,,
Battle of Aquae Sextae,102 BC,Teutobod,"about 120,000 warriors",L,D,120000,,,,,
Battle of Aquae Sextae,102 BC,Gaius Marius,"40,000 men (6 legions with cavalry and auxiliaries)",R,V,40000,,,,,
Battle of Arausio,6 October[1] 105 BC,Gnaeus Mallius Maximus,"80,000 troops (10-12 legions)   up to 40,000 auxiliaries and camp followers",R,D,80000,,,,,
Battle of Arausio,6 October[1] 105 BC,Teutobod,"About 200,000",L,V,200000,,,,,
Battle of Arbedo,"June 30, 1422 [1]",Francesco Bussone da Carmagnola,"16,000   (including 5,000 cavalry) [5][6]",L,V,11000,5000,,,,
Battle of Arcadiopolis (970),March 970[1],Peter (stratopedarches),"10–12,000 men[2][3]",L,V,11000,,,,,
Battle of Ardnocher,10 August 1329,William MacGeoghegan,?,L,V,1,,,,,
Battle of Argentovaria,May 378,Priarius,"40,000.[1][unreliable source?]",R,D,40000,,,,,
Battle of Arginusae,406 BC,Callicratidas,120 ships,L,V,,,,120,,
Battle of Arnemuiden,23 September 1338,Nicolas Béhuchet,48 galleys,R,V,,,,48,,
Battle of Arnemuiden,23 September 1338,John Kingston (sailor),5 great carracks with artillery,L,D,,,,5,,
Battle of Artemisium,"August 7[1] or September 8–10,[2] 480 BC",Eurybiades,"271 ships   4,065 marines   46,070 oarsmen",L,I,,,,271,,
Battle of Artemisium,"August 7[1] or September 8–10,[2] 480 BC",Artemisia I of Caria,"1,207 ships   36,210 marines   205,190 oarsmen",R,I,,,,1207,,
Battle of Ascalon,"August 12, 1099","Raymond IV, Count of Toulouse","1,200 Knights[6]   9,000 Infantry[6]",L,V,9000,1200,,,,
Battle of Ascalon,"August 12, 1099",Al-Afdal Shahanshah,"20,000[6]-50,000[7]",R,D,35000,,,,,
Battle of Asculum,279 BC,Publius Decius Mus (consul 279 BC),"40,000 men   300 anti-elephant wagons",L,V,40000,,,,,
Battle of Asculum,279 BC,Pyrrhus of Epirus,"40,000 men   19 war elephants",R,D,40000,,,,,19
Battle of Asculum (89 BC),89 BC,Judacilius,"60,000",R,D,60000,,,,,
Battle of Asculum (89 BC),89 BC,Pompeius Strabo,"75,000",L,V,75000,,,,,
Battle of Atoleiros,6 April 1384,Fernando Sánchez de Tovar,"5,000 men[7]      3,000 foot soldiers   2,000 cavalry[8]",R,D,3000,2000,,,,
Battle of Atoleiros,6 April 1384,Nuno Álvares Pereira,"1,400 men:[2][3]      1,000 foot soldiers[4]   300 cavalry[5]   100 crossbowman[6]",L,V,1100,300,,,,
Battle of Auberoche,21 October 1345,"Henry of Grosmont, 1st Duke of Lancaster","1,500",L,V,1500,,,,,
Battle of Auray,29 September 1364,"John IV, Duke of Brittany","3,500",L,V,3500,,,,,
Battle of Auray,29 September 1364,"Charles, Duke of Brittany","4,000",R,D,4000,,,,,
Battle of Avarayr,26 May 451[1],Izad Gushnasp,"200,000[2]–300,000[6] Sassanids   60,000 Armenian loyalists[6]   Unknown number of elephants",L,V,310000,,,,,
Battle of Avarayr,26 May 451[1],Vardan Mamikonian,"66,000 Armenians[6]",R,D,66000,,,,,
Battle of Axtorna,20 October 1565,Daniel Rantzau,"6,000 infantry   1,400 cavalry   21 artillery pieces",R,V,6000,1400,21,,,
Battle of Axtorna,20 October 1565,Jakob Henriksson Hästesko,"8,100 infantry   3,000 cavalry   47 artillery pieces",L,D,8100,3000,47,,,
Battle of Azaz (1030),Early August 1030,Shibl al-Dawla Nasr,"700–2,000",R,V,1350,,,,,
Battle of Azaz (1030),Early August 1030,Romanos III Argyros,"~20,000",L,D,20000,,,,,
Battle of Azaz (1125),"June 11, 1125","Joscelin I, Count of Edessa",Crusaders: approximately 3100 men:      2000 foot soldiers   1100 knights,L,V,2000,1100,,,,
Battle of Azaz (1125),"June 11, 1125",Toghtekin,Seljuks:   Unknown,R,D,1,,,,,
Battle of Badr,"13 March 624 CE/17 Ramadan, 2 AH",Amr ibn Hishām,950 infantry and cavalry: 100 horses and 170 camels,R,D,950,270,,,,
Battle of Badr,"13 March 624 CE/17 Ramadan, 2 AH",Hamza ibn Abdul-Muttalib,313 infantry and cavalry: 2 horses and 70 camels,L,V,313,72,,,,
Battle of Baecula,208 BC,Scipio Africanus,"35,000 men",R,V,35000,,,,,
Battle of Baecula,208 BC,Hasdrubal Barca,"25,000 men + Iberian allies",L,D,25000,,,,,
Battle of Baekgang,27 - 28 August 663 CE,Abe no Hirafu,"42,000 Yamato troops   800 Yamato ships   Unknown number of Baekje restoration troops",R,D,42000,,,800,,
Battle of Baekgang,27 - 28 August 663 CE,Buyeo Yung,"13,000 Tang troops   170 Tang ships   Unknown number of Silla support cavalry",L,V,13000,,,170,,
Battle of Baesweiler,22 August 1371,"Wenceslaus I, Duke of Luxembourg","2500 men-at-arms, unknown but small number of militia infantry[2]",R,D,2500,,,,,
Battle of Baesweiler,22 August 1371,"Edward, Duke of Guelders","1600 men-at-arms, unknown but small number of militia infantry[1]",L,V,1600,,,,,
Battle of Baghdad (1258),29 January – 10 February 1258 (13 days),Koke Ilge,"120,000[3]–150,000[4]",L,V,135000,,,,,
Battle of Baghdad (1258),29 January – 10 February 1258 (13 days),Sulaiman Shah,"50,000",R,D,50000,,,,,
Battle of Bai ju,506 BC,Wu Zixu,Between 30.000 and 33.000,L,V,30000,,,,,
Battle of Bai ju,506 BC,Nang Wa,Between 200.000 and 300.000,R,D,250000,,,,,
Battle of Baia,15 December 1467,Matthias Corvinus,"40,000; 500 cannons[7] 15,000-20,000 (modern estimate[8])",R,D,17500,,500,,,
Battle of Baia,15 December 1467,Stephen III of Moldavia,"12,000[6]",L,V,12000,,,,,
Battle of Baideng,200 BC,Modu Chanyu,"400,000[1]",L,V,400000,,,,,
Battle of Baideng,200 BC,Emperor Gaozu of Han,"320,000[1]",R,D,320000,,,,,
Battle of Ballon,22 November 845,Nominoe,"c 1,000 Bretons",L,V,1000,,,,,
Battle of Ballon,22 November 845,Charles the Bald,"c 3,000 Franks",R,D,3000,,,,,
Battle of Bandiradley,"December 23–25, 2006",Abdulrahman Said Dhegaweyne,500+,R,V,500,,,,,
Battle of Bandiradley,"December 23–25, 2006",Mohamed Mohamud Agaweine,,L,D,1,,,,,
Battle of Bani Walid,"8–30 September 2011
(3 weeks and 1 day) (First phase)
9–17 October 2011
(1 week and 1 day) (Second phase)",Musa Yunis,"5,000 fighters[5]   150 technicals",L,V,5000,,,,,
Battle of Bani Walid,"8–30 September 2011
(3 weeks and 1 day) (First phase)
9–17 October 2011
(1 week and 1 day) (Second phase)",Saif al-Islam Gaddafi,"2,000 fighters[6]   Several dozen technicals and BM-21 Grad launchers[7][8]",R,D,2000,,,,,
Battle of Bankusay Channel,"June 3, 1571",Tarik Sulayman,"40 caracoas (warships), around 2,000 warriors",L,D,2000,,40,,,
Battle of Bankusay Channel,"June 3, 1571",Miguel López de Legazpi,"27 vessels, 280 Spaniards, 600 native allies",R,V,880,,27,,,
Battle of Bannockburn,23–24 June 1314,Edward Bruce,"5,000[1]–10,000[2]",L,V,7500,,,,,
Battle of Bannockburn,23–24 June 1314,Edward II of England,"13,700[3]–25,000[4]",R,D,19350,,,,,
Battle of Bapheus,27 July 1302,Osman I,"~5,000 [2]",R,V,5000,,,,,
Battle of Barnet,14 April 1471,"Richard Neville, 16th Earl of Warwick","10,000–30,000",R,D,20000,,,,,
Battle of Barnet,14 April 1471,Edward IV of England,"7,000–15,000",L,V,11000,,,,,
Battle of Basian,"July 27, 1202",Zakarids-Mkhargrzeli,"65,000",L,V,65000,,,,,
Battle of Basian,"July 27, 1202",Suleiman II (Rûm),"400,000 (various medieval sources)[1]   100,000-150,000 modern estimate",R,D,125000,,,,,
Battle of Basra (2008),"25–31 March 2008
(6 days)",Fadhil Jalil al-Barwari,"Iraqi Security Forces      16,000 (Iraqi Police)   14,000 (Iraqi Army)[5]   4 Mi-17 and 2 UH-1 helicopters   2 C-130 cargo aircraft   3 CH2000 reconnaissance aircraft[6]",L,I,30000,,,,,
Battle of Basra (2008),"25–31 March 2008
(6 days)",Muqtada al-Sadr,"16,000[citation needed]",R,I,16000,,,,,
Battle of Bauge,22 March 1421,"Thomas of Lancaster, 1st Duke of Clarence","4,000   Only 1,500 deployed",R,D,1500,,,,,
Battle of Bauge,22 March 1421,"John Stewart, Earl of Buchan","5,000",L,V,5000,,,,,
Battle of Baxi,215 CE,Zhang Fei,"at least 10,000 elite soldiers [1]",L,V,10000,,,,,
Battle of Baxi,215 CE,Zhang He,Main army of Cao Cao in that region,R,D,1,,,,,
Battle of Baçente,"February 2, 1542",Ahmad ibn Ibrahim al-Ghazi,"1500 archers and ""buckler men""",R,D,1500,,,,,
Battle of Baçente,"February 2, 1542",Cristóvão da Gama,400 Portuguese musketeers,L,V,400,,,,,
Battle of Benevento,26 February 1266,Charles I of Naples,"4,600 cavalry   Unknown number of infantry",L,V,1,,,,,
Battle of Benevento,26 February 1266,"Manfred, King of Sicily","3,600 heavy cavalry   300 light cavalry   10,000 archers",R,D,1,,,,,
Battle of Beneventum (212 BC),212 BC,Quintus Fulvius Flaccus (consul 237 BC),"23,000",L,V,23000,,,,,
Battle of Beneventum (212 BC),212 BC,Hanno the Elder,"16,000",R,D,16000,,,,,
Battle of Beneventum (214 BC),214 BC,Tiberius Sempronius Gracchus (consul 215 BC),"18,000 infantry and cavalry",L,V,18000,,,,,
Battle of Beneventum (214 BC),214 BC,Hanno the Elder,"17,000 infantry,   1,200 cavalry",R,D,18200,,,,,
Battle of Beroia,1122,John II Komnenos,Unknown      480 Varangians,L,V,1,,,,,
Battle of Berzitia,October 774,Constantine V,"80,000 [1]",R,V,80000,,,,,
Battle of Berzitia,October 774,Telerig of Bulgaria,"12,000 [1]",L,D,12000,,,,,
Battle of Beth Horon (166 BC),166 BC,Seron (Syrian governor),"4,000 men",R,D,4000,,,,,
Battle of Beth Horon (166 BC),166 BC,Judas Maccabeus,"1,000 men",L,V,1000,,,,,
Battle of Beth Horon (66),66 CE,Cestius Gallus,"Entire XII Fulminata legion. Vexilations from III Gallica, IIII Scythica and VI Ferrata. Several cohorts of auxiliaries.",L,D,1,,,,,
Battle of Beth Horon (66),66 CE,Simon bar Giora,Many tens of thousands in local Jewish militias,R,V,1,,,,,
Battle of Beth Zachariah,162 BCE,Lysias (Syrian chancellor),"Est. 50,000 infantry, 30 war elephants, more than 5,000 cavalry",R,D,50000,5000,,,,30
Battle of Beth Zachariah,162 BCE,Eleazar Avaran,"Est. 20,000 infantry",L,V,20000,,,,,
Battle of Beth Zur,164 BC[1],Judas Maccabeus,"10,000",L,V,10000,,,,,
Battle of Beth Zur,164 BC[1],Lysias (Syrian chancellor),"20,000 Infantry, 5,000 Cavalry, 300 Chariots and 22 War elephants",R,D,20000,5000,,,,322
Battle of Bhuchar Mori,July 1591,Mirza Aziz Koka,8900-9000[1],L,V,8950,,,,,
Battle of Bibracte,58 BC,Julius Caesar,"6 legions plus auxiliaries   50,000 troops",L,V,50000,,,,,
Battle of Bibracte,58 BC,Divico,"According to Caesar:   368,000:   90,000 warriors   278,000 non-combatants",R,D,90000,,,,,
Battle of Bicocca,27 April 1522,Fernando d'Avalos,"18,000+[2]",R,V,18000,,,,,
Battle of Bicocca,27 April 1522,Anne de Montmorency,"19,000–31,000+[1]",L,D,25000,,,,,
Battle of Bileća,"August 27th, 1388",Lala Şahin Pasha,18,R,D,18000,,,,,
Battle of Bileća,"August 27th, 1388",Radič Sanković,7,L,V,7000,,,,,
Battle of Bin Jawad,6-Mar-11,Abdul Fatah Younis,"500-1,000[2]",L,D,750,,,,,
Battle of Blanchetaque,24 August 1346,Godemar du Foy,"3,500",R,D,3500,,,,,
Battle of Blanchetaque,24 August 1346,Edward III of England,"5,000 (not all engaged)",L,V,5000,,,,,
Battle of Blore Heath,23 September 1459,"John Sutton, 1st Baron Dudley","10,000 men[4]",R,D,10000,,,,,
Battle of Blore Heath,23 September 1459,"Richard Neville, 5th Earl of Salisbury","5,000 men[3]",L,V,5000,,,,,
Battle of Blue Waters,Autumn 1362 or 1363,Algirdas,"20,000–25,000",L,V,22500,,,,,
Battle of Blue Waters,Autumn 1362 or 1363,"Demetrius, Prince of the Tatars","10,000–20,000",R,D,15000,,,,,
Battle of Bonchurch,"July, 1545",Robert Fyssher,300[2]-2800[3] militiamen,R,V,1550,,,,,
Battle of Bonchurch,"July, 1545",Le Seigneur de Tais,Approx 500 soldiers[2],L,D,500,,,,,
Battle of Bornholm (1563),30 May 1563,Jacob Brockenhuus,10 ships,R,D,,,,10,,
Battle of Bornholm (1563),30 May 1563,Jakob Bagge,19 ships,L,V,,,,19,,
Battle of Boroughbridge,16 March 1322,"Thomas, 2nd Earl of Lancaster","c. 1,000",R,D,1000,,,,,
Battle of Boroughbridge,16 March 1322,John Peche,"c. 4,000",L,V,4000,,,,,
Battle of Bosra,June-July 634,Heraclius,"12,000[1]",R,D,12000,,,,,
Battle of Bosra,June-July 634,Khalid ibn al-Walid,"4,000[1]",L,V,4000,,,,,
Battle of Bosworth Field,22 August 1485,Rhys ap Thomas,"5,000–8,000",R,V,6500,,,,,
Battle of Bosworth Field,,"John de la Pole, 1st Earl of Lincoln","7,500–12,000",L,D,9750,,,,,
Battle of Bouvines,27 July 1214,Philip II of France,"6,000–8,000[2]      1,200–1,400 knights   200–300 light cavalry   5,000–6,000 infantry",L,V,5500,1550,,,,
Battle of Bouvines,27 July 1214,"Theobald I, Duke of Lorraine","9,000[3]      1,300–1,500 knights[a]   7,500 infantry",R,D,7500,1400,,,,
Battle of Bramham Moor,19 February 1408,"Henry Percy, 1st Earl of Northumberland","Unknown, small",R,D,1,,,,,
Battle of Bramham Moor,19 February 1408,Thomas de Rokeby,"Unknown, small",L,V,1,,,,,
Battle of Breadfield,"October 13, 1479",Basarab Laiotă cel Bătrân,"12-15,000 men (Hungarians, Transylvanian Saxons, Serbs, Szeklers, Vlachs and Transylvanian Hungarians)",L,V,13500,,,,,
Battle of Breadfield,"October 13, 1479",Basarab Țepeluș cel Tânăr,"6,000-20,000 Akıncı, Spakh and Asab, some Janissary   5,000 Wallachian troops[1]",R,D,13000,,,,,
