,Battle,Date,Location,Result,belligerent,opp,own,pos,Infantry,Cavalry,Artillery,Ships,Airforce,Special,VorD
17,Battle_of_Wisternitz,"August 5, 1619",Dolní Věstonice (present-day Czech Republic),Bohemian victory,Friedrich von Tiefenbach,"8,000-12,000","3,500",L,,,,,,,V
18,Battle_of_Mingolsheim,27 April 1622,"Mingolsheim, 22 km (14 mi) south of Heidelberg",Protestant tactical victory; strategic Catholic success (Tilly joins Córdoba),Ernst von Mansfeld,"28,000","12,000",L,,,,,,,I
19,Battle_of_Höchst,20 June 1622,"Höchst, today a suburb of Frankfurt am Main (Germany)",Strategic Catholic victory,Christian the Younger of Brunswick,"26,000","17,000",L,,,,,,,D
20,Battle_of_Höchst,20 June 1622,"Höchst, today a suburb of Frankfurt am Main (Germany)",Strategic Catholic victory,"Johann Tserclaes, Count of Tilly","17,000","26,000",R,,,,,,,V
21,Battle_of_Stadtlohn,6 August 1623,"Stadtlohn, North Rhine-Westphalia
(present-day Germany)",Decisive Catholic victory,Christian the Younger of Brunswick,"Approx: 25,000","15,000",L,,,,,,,D
22,Capture_of_Bahia,8 May 1624,"Salvador da Bahia, present-day Brazil",Dutch victory,Diogo de Mendonça Furtado,"6,500","3,000",R,,,,,,,D
23,Siege_of_Breda_(1624),28 August 1624 – 5 June 1625,Breda (present-day the Netherlands),Spanish victory[1][2],"Ambrogio Spinola, 1st Marquis of the Balbases","7000 (Dutch garrison)
7000 (Dutch relief force)
7000 (English relief force)","18,000",R,,,,,,,V
24,Battle_of_Lutter_am_Berenberge,27 August 1626,"Lutter am Barenberge (present-day Germany)
Coordinates: 51°58′00.948″N 10°14′18.78″E﻿ / ﻿51.96693000°N 10.2385500°E﻿ / 51.96693000; 10.2385500",Decisive Imperial victory,Christian IV of Denmark,"20,000","20,000",L,,,,,,,D
25,Battle_of_Lutter_am_Berenberge,27 August 1626,"Lutter am Barenberge (present-day Germany)
Coordinates: 51°58′00.948″N 10°14′18.78″E﻿ / ﻿51.96693000°N 10.2385500°E﻿ / 51.96693000; 10.2385500",Decisive Imperial victory,"Johann Tserclaes, Count of Tilly","20,000","20,000",R,,,,,,,V
26,Battle_of_Górzno,12 February 1629,"Górzno, Poland",Swedish victory,Herman Wrangel,"4,000 men

4 artillery guns[2]","2,400 (infantry)
3,600 (cavalry)
8 artillery guns[1]",L,,,,,,,V
27,Battle_of_Górzno,12 February 1629,"Górzno, Poland",Swedish victory,"Stanisław ""Rewera"" Potocki","2,400 (infantry)
3,600 (cavalry)
8 artillery guns[1]","4,000 men

4 artillery guns[2]",R,,,,,,,D
28,Sack_of_Magdeburg,20 May 1631,"Magdeburg
52°08′N 11°37′E﻿ / ﻿52.133°N 11.617°E﻿ / 52.133; 11.617Coordinates: 52°08′N 11°37′E﻿ / ﻿52.133°N 11.617°E﻿ / 52.133; 11.617",Destruction of the city,Gottfried Heinrich Graf zu Pappenheim,"2,400","24,000",L,,,,,,,V
30,Sack_of_Magdeburg,20 May 1631,"Magdeburg
52°08′N 11°37′E﻿ / ﻿52.133°N 11.617°E﻿ / 52.133; 11.617Coordinates: 52°08′N 11°37′E﻿ / ﻿52.133°N 11.617°E﻿ / 52.133; 11.617",Destruction of the city,Sweden,"24,000","2,400",R,,,,,,,D
31,Battle_of_Albrolhos,12 September 1631,Off Pernambuco (present-day Brazil),Spanish-Portuguese victory[1],Mårten Anckarhielm,"20 warships
(5 Unarmed)",16 warships,R,,,,,,,D
32,Battle_of_Breitenfeld_(1631),"September 7 (O.S.)[a]
September 17, 1631 (N.S.)[a]","Breitenfeld, Saxony, north of Leipzig
(present-day Germany)
51°24′N 12°20′E﻿ / ﻿51.400°N 12.333°E﻿ / 51.400; 12.333Coordinates: 51°24′N 12°20′E﻿ / ﻿51.400°N 12.333°E﻿ / 51.400; 12.333",Decisive Swedish victory,"Johann Tserclaes, Count of Tilly","23,000 Swedes
18,300 Saxons
28,750 men present at Breitenfield[1]

11,319 Musketeers
4,812 Pikemen
8,700 Horsemen
3,928 officers","35,000 men",R,,,,,,,D
33,Battle_of_Rain,"April 15, 1632","At the River Lech near Rain, Bavaria
(present-day Germany)",Decisive Swedish victory,Gustavus Adolphus of Sweden,"25,000","40,000",L,,,,,,,V
34,Battle_of_Rain,"April 15, 1632","At the River Lech near Rain, Bavaria
(present-day Germany)",Decisive Swedish victory,"Johann Tserclaes, Count of Tilly","40,000","25,000",R,,,,,,,D
35,Battle_of_Lützen_(1632),"6 November (O.S.) or 16 November (N.S.), 1632","Near Lützen, southwest of Leipzig
(present-day Germany)
51°15′N 12°08′E﻿ / ﻿51.250°N 12.133°E﻿ / 51.250; 12.133Coordinates: 51°15′N 12°08′E﻿ / ﻿51.250°N 12.133°E﻿ / 51.250; 12.133",Swedish victory,Sweden,"10,000 infantry
7,000 cavalry, plus 3,000 infantry and 2,000 cavalry on arrival
24 guns","12,800 infantry
6,200 cavalry
60 guns",L,,,,,,,V
36,Battle_of_Lützen_(1632),"6 November (O.S.) or 16 November (N.S.), 1632","Near Lützen, southwest of Leipzig
(present-day Germany)
51°15′N 12°08′E﻿ / ﻿51.250°N 12.133°E﻿ / 51.250; 12.133Coordinates: 51°15′N 12°08′E﻿ / ﻿51.250°N 12.133°E﻿ / 51.250; 12.133",Swedish victory,Albrecht von Wallenstein,"12,800 infantry
6,200 cavalry
60 guns","10,000 infantry
7,000 cavalry, plus 3,000 infantry and 2,000 cavalry on arrival
24 guns",R,,,,,,,D
37,Battle_of_Nördlingen_(1634),5–6 September 1634,"Imperial city of Nördlingen, Swabia
(present-day Bavaria, Germany)",Decisive Imperial-Spanish victory[1],Sweden,"21,000 infantry and 13,000 cavalry (32 guns)","16,300 infantry and 9,300 cavalry (62 guns)",L,,,,,,,D
39,Battle_of_Nördlingen_(1634),5–6 September 1634,"Imperial city of Nördlingen, Swabia
(present-day Bavaria, Germany)",Decisive Imperial-Spanish victory[1],"Ferdinand III, Holy Roman Emperor","16,300 infantry and 9,300 cavalry (62 guns)","21,000 infantry and 13,000 cavalry (32 guns)",R,,,,,,,V
40,Siege_of_Breda_(1637),"July 21, 1637 – October 11, 1637",Breda (present-day the Netherlands),Dutch victory,"Frederick Henry, Prince of Orange","2,000","18,000",L,,,,,,,V
41,Siege_of_Breda_(1637),"July 21, 1637 – October 11, 1637",Breda (present-day the Netherlands),Dutch victory,Cardinal-Infante Ferdinand of Austria,"18,000","2,000",R,,,,,,,D
42,Battle_of_Breitenfeld_(1642),23 October 1642,"Breitenfeld, Saxony (present-day Germany)",Swedish victory,Lennart Torstensson,"25,000
46 guns","15,000",L,,,,,,,V
43,Battle_of_Adwalton_Moor,30 June 1643,"Adwalton, Yorkshire, England
53°45′04″N 1°39′50″W﻿ / ﻿53.751°N 1.664°W﻿ / 53.751; -1.664Coordinates: 53°45′04″N 1°39′50″W﻿ / ﻿53.751°N 1.664°W﻿ / 53.751; -1.664",Royalist Victory,"William Cavendish, 1st Duke of Newcastle","3,500","10,000",L,,,,,,,V
44,Battle_of_Adwalton_Moor,30 June 1643,"Adwalton, Yorkshire, England
53°45′04″N 1°39′50″W﻿ / ﻿53.751°N 1.664°W﻿ / 53.751; -1.664Coordinates: 53°45′04″N 1°39′50″W﻿ / ﻿53.751°N 1.664°W﻿ / 53.751; -1.664",Royalist Victory,Thomas Fairfax,"10,000","3,500",R,,,,,,,D
45,Battle_of_Ochmatów_(1644),30 January 1644,"Okhmativ, in modern Cherkasy Oblast, Ukraine",Polish victory,Stanisław Koniecpolski,"under 20,000","19,130",L,,,,,,,V
46,Battle_of_Ochmatów_(1644),30 January 1644,"Okhmativ, in modern Cherkasy Oblast, Ukraine",Polish victory,Tugay Bey,"19,130","under 20,000",R,,,,,,,D
47,Battle_of_Jüterbog,23 November 1644,"Near Jüterbog, 50 km south of Berlin",Swedish victory,Lennart Torstensson,"15,000","16,000",L,,,,,,,V
48,Battle_of_Jüterbog,23 November 1644,"Near Jüterbog, 50 km south of Berlin",Swedish victory,Matthias Gallas,"16,000","15,000",R,,,,,,,D
49,Battle_of_Inverlochy_(1645),2 February 1645,Inverlochy,Royalist Victory,"James Graham, 1st Marquess of Montrose","3,000","1,500",L,,,,,,,V
50,Battle_of_Nördlingen_(1645),"August 3, 1645","Alerheim, near Nördlingen (present-day Germany)",French victory,"Louis, Grand Condé","12,000-16,000","12,000-19,000",L,,,,,,,V
51,Battle_of_Nördlingen_(1645),"August 3, 1645","Alerheim, near Nördlingen (present-day Germany)",French victory,Franz von Mercy,"12,000-19,000","12,000-16,000",R,,,,,,,D
52,Battle_of_Benburb,5 June 1646,"Benburb, County Tyrone
54°24′43″N 6°44′46″W﻿ / ﻿54.412°N 6.746°W﻿ / 54.412; -6.746Coordinates: 54°24′43″N 6°44′46″W﻿ / ﻿54.412°N 6.746°W﻿ / 54.412; -6.746",Irish Confederate victory,Owen Roe O'Neill,"6,000[1]","5,000",L,,,,,,,V
53,First_Battle_of_Guararapes,19 April 1648,"Pernambuco, Brazil",Portuguese victory[1],Francisco Barreto de Meneses,"5,000[2]
5 cannons[3]","2,000",R,,,,,,,V
54,Battle_of_Rathmines,2 August 1649,"Rathmines near Dublin, eastern Ireland",English Parliamentarian Victory,"James Butler, 1st Duke of Ormonde","5,000","11,000",L,,,,,,,D
55,Battle_of_Rathmines,2 August 1649,"Rathmines near Dublin, eastern Ireland",English Parliamentarian Victory,Michael Jones (soldier),"11,000","5,000",R,,,,,,,V
56,Battle_of_Worcester,3 September 1651,"Worcester, England
52°11′19.50″N 2°13′15″W﻿ / ﻿52.1887500°N 2.22083°W﻿ / 52.1887500; -2.22083Coordinates: 52°11′19.50″N 2°13′15″W﻿ / ﻿52.1887500°N 2.22083°W﻿ / 52.1887500; -2.22083","Decisive Parliamentarian victory

Escape of Charles II
End of the English Civil War",Oliver Cromwell,"less than 16,000","31,000",L,,,,,,,V
58,Battle_of_Scheveningen,31 July 1653,"Scheveningen, Netherlands","English tactical victory
Dutch strategic victory","George Monck, 1st Duke of Albemarle","100 ships under Tromp
27 ships under De With[1]",120 ships,L,,,,,,,V
60,Battle_of_Żarnów,16 September 1655,Żarnów,Swedish victory,Charles X Gustav of Sweden,"6,000 cavalry
900-1,500 dragoons and reiters
3,000-4,000 levée en masse
6 artillery pieces","6,000 cavalry
4,500 infantry
400 dragoons
40 artillery pieces",L,,,,,,,V
61,Battle_of_Żarnów,16 September 1655,Żarnów,Swedish victory,John II Casimir Vasa,"6,000 cavalry
4,500 infantry
400 dragoons
40 artillery pieces","6,000 cavalry
900-1,500 dragoons and reiters
3,000-4,000 levée en masse
6 artillery pieces",R,,,,,,,D
62,Battle_of_Nowy_Dwór_Mazowiecki,"September 20–30, 1655",Nowy Dwór Mazowiecki,Swedish victory,Gustaf Otto Stenbock,"7,000 cavalry
1,000 infantry
7 cannons","~1,500 cavalry
6,500 infantry
60 cannons",L,,,,,,,V
63,Battle_of_Nowy_Dwór_Mazowiecki,"September 20–30, 1655",Nowy Dwór Mazowiecki,Swedish victory,Jan Kazimierz Krasiński,"~1,500 cavalry
6,500 infantry
60 cannons","7,000 cavalry
1,000 infantry
7 cannons",R,,,,,,,D
64,Battle_of_Częstochowa,"November 28 – December 27, 1655","Jasna Góra monastery in Częstochowa, Poland",Decisive Polish victory,Augustyn Kordecki,3200 and 17 cannons,310 and 24—30 cannons,R,,,,,,,D
65,Battle_of_Vågen,2 August 1665,"Bergen, Norway",Dutch victory,Pieter de Bitter,30 ships[1],50 ships[1],L,,,,,,,V
66,Battle_of_Vågen,2 August 1665,"Bergen, Norway",Dutch victory,Thomas Teddeman,50 ships[1],30 ships[1],R,,,,,,,D
67,Siege_of_Groningen,9 July 1672 – 17 August 1672,Groningen,Dutch victory,Christoph Bernhard von Galen,Few,"24,000",L,,,,,,,D
68,Siege_of_Groenlo_(1672),1–10 June 1672,"Groenlo, Gelderland
52°02′31″N 6°36′58″E﻿ / ﻿52.042°N 6.616°E﻿ / 52.042; 6.616Coordinates: 52°02′31″N 6°36′58″E﻿ / ﻿52.042°N 6.616°E﻿ / 52.042; 6.616",Surrender of Groenlo,Christoph Bernhard von Galen,600 (infantry + cavalry),"100,000",R,,,,,,,V
69,Siege_of_Maastricht_(1673),13–30 June 1673,"Maastricht, Netherlands",French victory,Louis XIV of France,"5,000 infantry
1,200 cavalry","24,000 infantry
16,000 cavalry
58 guns",L,,,,,,,V
70,Siege_of_Maastricht_(1673),13–30 June 1673,"Maastricht, Netherlands",French victory,"Jacques de Fariaux, baron de Maulde","24,000 infantry
16,000 cavalry
58 guns","5,000 infantry
1,200 cavalry",R,,,,,,,D
71,Battle_of_Lwów_(1675),"August 24, 1675","Lwów, Polish–Lithuanian Commonwealth",Polish victory,Ibrahim Shyshman,"~6,000[1]:653 (2,000 cavalry, 4,000 infantry)","20,000[1]:653",L,,,,,,,D
72,Battle_of_Lwów_(1675),"August 24, 1675","Lwów, Polish–Lithuanian Commonwealth",Polish victory,John III Sobieski,"20,000[1]:653","~6,000[1]:653 (2,000 cavalry, 4,000 infantry)",R,,,,,,,V
73,Battle_of_Öland,1 June 1676,"East coast of Öland, western Baltic Sea","Decisive allied victory, Danish naval supremacy and an invasion of Scania",Cornelis Tromp,"57 warships, including 27 ships of the line
c. 12,000 men","42 warships, including 25 ships of the line",L,,,,,,,V
74,Battle_of_Öland,1 June 1676,"East coast of Öland, western Baltic Sea","Decisive allied victory, Danish naval supremacy and an invasion of Scania",Lorentz Creutz,"42 warships, including 25 ships of the line","57 warships, including 27 ships of the line
c. 12,000 men",R,,,,,,,D
75,Battle_of_Gegodog,13 October 1676,"Gegodog (east of Tuban, present day East Java, Indonesia)",Trunajaya victory,Trunajaya,"unknown, much larger.[1]","9,000[1]",L,,,,,,,V
76,Battle_of_Malmö,"June 26, 1677",Malmö,Swedish victory,Fabian von Fersen,"14,000 troops","2,000 troops
5,000 townsmen",L,,,,,,,V
77,Battle_of_Malmö,"June 26, 1677",Malmö,Swedish victory,Christian V of Denmark,"2,000 troops
5,000 townsmen","14,000 troops",R,,,,,,,D
78,Battle_of_Marstrand,6–23 July 1677,"Marstrand, Sweden",Dano-Norwegian victory,Anders Sinclair,"1,600 - 3,000",600,L,,,,,,,D
79,Battle_of_Uddevalla,"August 28, 1677",Uddevalla,Danish-Norwegian victory,Magnus Gabriel De la Gardie,"5,600","3,000",L,,,,,,,D
80,Battle_of_Sedgemoor,6 July 1685 (O.S),"Westonzoyland Near Bridgwater, Somerset, England",Decisive Royal victory,"Louis de Duras, 2nd Earl of Feversham","4,000","3,000",L,,,,,,,V
81,Battle_of_Sedgemoor,6 July 1685 (O.S),"Westonzoyland Near Bridgwater, Somerset, England",Decisive Royal victory,"James Scott, 1st Duke of Monmouth","3,000","4,000",R,,,,,,,D
83,Battle_of_Mohács_(1687),12 August 1687,"Nagyharsány, Baranya, Hungary","Decisive Imperial victory


Austrian conquest of southern Hungary and Transylvania
Unification of Hungary under Habsburg rule","Charles V, Duke of Lorraine","60,000 men[citation needed]","40,000 Habsburg troops
20,000 Bavarian troops
Total: 60,000 men[1]",L,,,,,,,V
85,Battle_of_Mohács_(1687),12 August 1687,"Nagyharsány, Baranya, Hungary","Decisive Imperial victory


Austrian conquest of southern Hungary and Transylvania
Unification of Hungary under Habsburg rule",Sarı Süleyman Pasha,"40,000 Habsburg troops
20,000 Bavarian troops
Total: 60,000 men[1]","60,000 men[citation needed]",R,,,,,,,D
86,Battle_of_Fleurus_(1690),1 July 1690,"Fleurus, Spanish Netherlands
(Present-day Belgium)",French victory,"François-Henri de Montmorency, duc de Luxembourg","38,000","35,000[1]",L,,,,,,,V
87,Battle_of_Fleurus_(1690),1 July 1690,"Fleurus, Spanish Netherlands
(Present-day Belgium)",French victory,Prince Georg Friedrich of Waldeck,"35,000[1]","38,000",R,,,,,,,D
88,Battle_of_the_Boyne,1 July 1690 O.S.[a],"Oldbridge, County Meath, Ireland",Williamite victory,William III of England,"23,500","36,000",R,,,,,,,V
89,Battle_of_Aughrim,22 July [O.S. 12 July] 1691,"Near Aughrim, County Galway, Ireland
53°17′42″N 8°18′43″W﻿ / ﻿53.295°N 8.312°W﻿ / 53.295; -8.312Coordinates: 53°17′42″N 8°18′43″W﻿ / ﻿53.295°N 8.312°W﻿ / 53.295; -8.312 (Irish grid M781272)",Williamite victory,Marquis de St Ruth,"20,000","18,000",L,,,,,,,D
90,Battle_of_Aughrim,22 July [O.S. 12 July] 1691,"Near Aughrim, County Galway, Ireland
53°17′42″N 8°18′43″W﻿ / ﻿53.295°N 8.312°W﻿ / 53.295; -8.312Coordinates: 53°17′42″N 8°18′43″W﻿ / ﻿53.295°N 8.312°W﻿ / 53.295; -8.312 (Irish grid M781272)",Williamite victory,"Godert de Ginkell, 1st Earl of Athlone","18,000","20,000",R,,,,,,,V
91,Battle_of_Steenkerque,3 August 1692,"Steenkerque, present-day Belgium",French victory,"François-Henri de Montmorency, duc de Luxembourg","80,000","80,000",L,,,,,,,V
92,Battle_of_Steenkerque,3 August 1692,"Steenkerque, present-day Belgium",French victory,William III of England,"80,000","80,000",R,,,,,,,D
93,Battle_of_Neerwinden_(1693),29 July 1693,"Neerwinden, present-day Belgium",Decisive French victory,"François-Henri de Montmorency, duc de Luxembourg","50,000","80,000",L,,,,,,,V
94,Battle_of_Neerwinden_(1693),29 July 1693,"Neerwinden, present-day Belgium",Decisive French victory,William III of England,"80,000","50,000",R,,,,,,,D
95,Siege_of_Namur_(1695),2 July – 1 September 1695,"Namur, Spanish Netherlands
(Present-day Belgium)
50°28′N 04°52′E﻿ / ﻿50.467°N 4.867°E﻿ / 50.467; 4.867",Grand Alliance victory,Louis-François de Boufflers,"34,000 infantry
24,000 cavalry[1]","13,000[1]",L,,,,,,,D
96,Crossing_of_the_Düna,"July 8, 1701 (O.S.)
July 9, 1701 (Swedish calendar)
July 19, 1701 (N.S.)","Riga, Swedish Livonia
(present-day Latvia)",Swedish victory,Charles XII of Sweden,"29,000 men:[2]
of which 13,000 engaged","14,000 men:[2]
of which 7,000 engaged",L,,,,,,,V
97,Crossing_of_the_Düna,"July 8, 1701 (O.S.)
July 9, 1701 (Swedish calendar)
July 19, 1701 (N.S.)","Riga, Swedish Livonia
(present-day Latvia)",Swedish victory,Adam Heinrich von Steinau,"14,000 men:[2]
of which 7,000 engaged","29,000 men:[2]
of which 13,000 engaged",R,,,,,,,D
98,Battle_of_Schellenberg,2 July 1704[a],"Donauwörth, Bavaria
48°42′0″N 10°48′0″E﻿ / ﻿48.70000°N 10.80000°E﻿ / 48.70000; 10.80000",Grand Alliance victory,"John Churchill, 1st Duke of Marlborough","13,000,[2]
16 guns","22,000[1]",L,,,,,,,V
99,Battle_of_Almansa,25 April 1707,"Almansa, Albacete, Spain",Decisive Franco-Spanish victory,"James FitzJames, 1st Duke of Berwick","22,000","25,000",R,,,,,,,D
100,Battle_of_Oudenarde,11 July 1708,"near Oudenaarde, Spanish Netherlands",Grand Alliance victory,"John Churchill, 1st Duke of Marlborough","85,000","80,000",L,,,,,,,V
101,Battle_of_Oudenarde,11 July 1708,"near Oudenaarde, Spanish Netherlands",Grand Alliance victory,"Louis, Duke of Burgundy","80,000","85,000",R,,,,,,,D
102,Battle_of_Saragossa,20 August 1710,"Zaragoza, Spain",Victory for the Archduke Charles[1],Philip V of Spain,"30,000[1][2]","20,000[1][2]",L,,,,,,,D
103,Battle_of_Brihuega,"8–9 December, 1710","Brihuega, Guadalajara, Spain",Franco-Spanish victory,"James Stanhope, 1st Earl Stanhope","10,000[1]","4,000[1]",L,,,,,,,D
104,Battle_of_Villaviciosa,10 December 1710,"Villaviciosa de Tajuña, Guadalajara, Spain",Decisive Franco-Spanish victory[1][2],Guido Starhemberg,"20,000[2]","14,000[2]",R,,,,,,,D
106,Russo-Turkish_War_(1710–1711),1710–1711,Pruth River,"Decisive Ottoman victory[1]
Treaty of Pruth[2]
Treaty of Adrianople (1713)",Baltacı Mehmet Pasha,"38,000 Russians[4][5]
5,000 Moldavians[4]","200,000[3]",L,,,,,,,V
108,Russo-Turkish_War_(1710–1711),1710–1711,Pruth River,"Decisive Ottoman victory[1]
Treaty of Pruth[2]
Treaty of Adrianople (1713)",Peter the Great,"200,000[3]","38,000 Russians[4][5]
5,000 Moldavians[4]",R,,,,,,,D
109,Battle_of_Denain,24 July 1712,"Denain, present-day France",Decisive French victory[1][2],Claude Louis Hector de Villars,"10,500","24,000",L,,,,,,,V
110,Battle_of_Denain,24 July 1712,"Denain, present-day France",Decisive French victory[1][2],Prince Eugene of Savoy,"24,000","10,500",R,,,,,,,D
111,Battle_of_Preston_(1715),9–14 November 1715,"Preston, Lancashire, England, Europe",British Government victory,Mackintosh of Borlum,"2,500–3,000","1,700",R,,,,,,,D
112,Battle_of_Sheriffmuir,13 November 1715,"Sheriffmuir, Scotland",Inconclusive[1],"John Campbell, 2nd Duke of Argyll","12,000","6,000",L,,,,,,,I
113,Battle_of_Sheriffmuir,13 November 1715,"Sheriffmuir, Scotland",Inconclusive[1],"John Erskine, Earl of Mar (1675–1732)","6,000","12,000",R,,,,,,,I
114,Siege_of_Fredriksten,"November 30, 1718","Fredriksten, Fredrikshald (today's Halden), Norway",Danish-Norwegian victory,Charles XII of Sweden,"1,800","6,000",L,,,,,,,D
116,Siege_of_Fredriksten,"November 30, 1718","Fredriksten, Fredrikshald (today's Halden), Norway",Danish-Norwegian victory,Barthold Nicolai Landsberg,"6,000","1,800",R,,,,,,,V
117,Battle_of_Damghan_(1729),"September 29 – October 5, 1729",Mihmandoost near Damghan,Decisive Persian victory,Ashraf Hotak,"~25,000","40,000-50,000",R,,,,,,,D
118,Battle_of_Guastalla,19 September 1734,"Guastalla, County of Guastalla (present-day Emilia-Romagna, Italy)
Coordinates: 44°55′0″N 10°40′0″E﻿ / ﻿44.91667°N 10.66667°E﻿ / 44.91667; 10.66667",Franco-Sardinian victory,Dominik von Königsegg-Rothenfels,"49,000 men","40,000 men",R,,,,,,,D
119,Battle_of_Grocka,22 July 1739,"Grocka, Belgrade, Serbia",Decisive Ottoman victory,"George Olivier, count of Wallis","100,000[2]","40,000",L,,,,,,,D
120,Battle_of_Stavuchany,"August 17 (28 in Julian calendar), 1737","near Khotyn, now in Chernivtsi Oblast, Ukraine","Decisive Russian victory
Treaty of Belgrade",Velip Pasha,"61,000
250 guns","90,000",R,,,,,,,D
122,Battle_of_Villafranca_(1744),20 April 1744,"Villafranca Marittima, Sardinia
(present-day France)",Franco-Spanish victory[1],"Philip, Duke of Parma","8,000","30,000",L,,,,,,,V
123,Battle_of_Villafranca_(1744),20 April 1744,"Villafranca Marittima, Sardinia
(present-day France)",Franco-Spanish victory[1],"Vittorio Francesco, Marquis of Susa","30,000","8,000",R,,,,,,,D
124,Battle_of_Casteldelfino,18 July 1744,"Casteldelfino, in present-day Cuneo, Italy",French victory,Charles Emmanuel III of Sardinia,5.000,"2,000",R,,,,,,,D
125,Battle_of_Prestonpans,21 September 1745,"Prestonpans (near Edinburgh), Scotland",Jacobite victory,Charles Edward Stuart,"2,300","2,500",R,,,,,,,V
126,Battle_of_Falkirk_(1746),17 January 1746,"Falkirk, Scotland",Jacobite victory,Henry Hawley,"ca. 8,000 men","ca. 7,000 men",L,,,,,,,D
127,Battle_of_Lauffeld,2 July 1747,Lauffeld between Tongeren and Maastricht.,Decisive French victory[3],"Prince William, Duke of Cumberland","80,000","60,000",L,,,,,,,D
128,Battle_of_Lauffeld,2 July 1747,Lauffeld between Tongeren and Maastricht.,Decisive French victory[3],Maurice de Saxe,"60,000","80,000",R,,,,,,,V
