,Battle,Date,Location,Result,belligerent,inflicted,opp,own,pos,taken
11,Siege_of_Groenlo_(1606),"3–14 August 1606 (Spinola)
30 October - 9 November 1606 (Maurice)","Groenlo, Gelderland
(present-day the Netherlands)","1st Siege: Spanish victory
2nd Siege: Spanish victory","Ambrogio Spinola, 1st Marquis of the Balbases",,"1,300-1,400","15,000",L,
12,Siege_of_Groenlo_(1606),"3–14 August 1606 (Spinola)
30 October - 9 November 1606 (Maurice)","Groenlo, Gelderland
(present-day the Netherlands)","1st Siege: Spanish victory
2nd Siege: Spanish victory","Maurice, Prince of Orange",,"15,000","1,300-1,400",R,
13,Battle_of_Gibraltar_(1607),25 April 1607,"Bay of Gibraltar, Spain
(near present-day Gibraltar)
Coordinates: 36°08′20″N 5°23′55″W﻿ / ﻿36.138887°N 5.398607°W﻿ / 36.138887; -5.398607",Decisive Dutch victory,Jacob van Heemskerk,"7-10 galleons and 9-12 smaller vessels,4000 men.[5](Dutch claim)
5 galleons and 9 small vessels.[6]
350 dead or captured,
110 prisoners[7](Spanish claim)","10 galleons
about 12 smaller vessels[2](Dutch claim)
10 galleons[3][4](Spanish claim)",26 warships[1],L,"no ships lost 100 dead
60 wounded"
14,Siege_of_Troitse-Sergiyeva_Lavra,September 1608 to January 1610,"now Sergiev Posad, Moscow Oblast
56°18′36″N 38°07′47″E﻿ / ﻿56.31000°N 38.12972°E﻿ / 56.31000; 38.12972Coordinates: 56°18′36″N 38°07′47″E﻿ / ﻿56.31000°N 38.12972°E﻿ / 56.31000; 38.12972",Russian victory,Jan Piotr Sapieha,"Heavy, around 2000","2,400","15,000",L,Unknown
15,Siege_of_Troitse-Sergiyeva_Lavra,September 1608 to January 1610,"now Sergiev Posad, Moscow Oblast
56°18′36″N 38°07′47″E﻿ / ﻿56.31000°N 38.12972°E﻿ / 56.31000; 38.12972Coordinates: 56°18′36″N 38°07′47″E﻿ / ﻿56.31000°N 38.12972°E﻿ / 56.31000; 38.12972",Russian victory,Aleksander Józef Lisowski,"Heavy, around 2000","2,400","15,000",L,Unknown
16,Siege_of_Troitse-Sergiyeva_Lavra,September 1608 to January 1610,"now Sergiev Posad, Moscow Oblast
56°18′36″N 38°07′47″E﻿ / ﻿56.31000°N 38.12972°E﻿ / 56.31000; 38.12972Coordinates: 56°18′36″N 38°07′47″E﻿ / ﻿56.31000°N 38.12972°E﻿ / 56.31000; 38.12972",Russian victory,Grigory Dolgorukov,Unknown,"15,000","2,400",R,"Heavy, around 2000"
17,Siege_of_Troitse-Sergiyeva_Lavra,September 1608 to January 1610,"now Sergiev Posad, Moscow Oblast
56°18′36″N 38°07′47″E﻿ / ﻿56.31000°N 38.12972°E﻿ / 56.31000; 38.12972Coordinates: 56°18′36″N 38°07′47″E﻿ / ﻿56.31000°N 38.12972°E﻿ / 56.31000; 38.12972",Russian victory,Aleksey Golokhvastov,Unknown,"15,000","2,400",R,"Heavy, around 2000"
18,Battle_of_Kluszyn,4 July 1610,Klushino,Decisive Polish victory,Stanisław Żółkiewski,"5,000[2]","30,000 Russians[2][3]
and 5,000 mercenaries
11 guns[2]","6,500–6,800 men[1][2]

2 guns[2]",L,400[2]
19,Battle_of_Kluszyn,4 July 1610,Klushino,Decisive Polish victory,Dmitry Shuisky,400[2],"6,500–6,800 men[1][2]

2 guns[2]","30,000 Russians[2][3]
and 5,000 mercenaries
11 guns[2]",R,"5,000[2]"
20,Battle_of_Kluszyn,4 July 1610,Klushino,Decisive Polish victory,Jacob De la Gardie,400[2],"6,500–6,800 men[1][2]

2 guns[2]","30,000 Russians[2][3]
and 5,000 mercenaries
11 guns[2]",R,"5,000[2]"
21,Siege_of_Smolensk_(1609–11),1609 to 1611,"near Smolensk, Russia",Polish victory,Sigismund III Vasa,Unknown,"5,000 soldiers
200 heavy guns","22,000 soldiers
30 heavy guns",L,Unknown
22,Siege_of_Smolensk_(1609–11),1609 to 1611,"near Smolensk, Russia",Polish victory,Mikhail Shein,Unknown,"22,000 soldiers
30 heavy guns","5,000 soldiers
200 heavy guns",R,Unknown
23,Battle_of_Kringen,26 August 1612,"Otta, Norway",Decisive Dano-Norwegian victory,George Sinclair (mercenary),"6 killed
12 wounded",Around 400 militia,Over 300 soldiers and conscripts,L,About 280[clarification needed]
24,Battle_of_Kringen,26 August 1612,"Otta, Norway",Decisive Dano-Norwegian victory,Lars Gunnarson Hågå,About 280[clarification needed],Over 300 soldiers and conscripts,Around 400 militia,R,"6 killed
12 wounded"
25,Battle_of_Imafuku,late November 1614,"Imafuku, northeast of Osaka Castle, Japan",Tokugawa victory,Satake Yoshinobu,500-600,600 + reinforcements,1500 + reinforcements,L,
26,Battle_of_Imafuku,late November 1614,"Imafuku, northeast of Osaka Castle, Japan",Tokugawa victory,Uesugi Kagekatsu,500-600,600 + reinforcements,1500 + reinforcements,L,
27,Battle_of_Imafuku,late November 1614,"Imafuku, northeast of Osaka Castle, Japan",Tokugawa victory,Kimura Shigenari,,1500 + reinforcements,600 + reinforcements,R,500-600
28,Battle_of_Imafuku,late November 1614,"Imafuku, northeast of Osaka Castle, Japan",Tokugawa victory,Gotō Mototsugu,,1500 + reinforcements,600 + reinforcements,R,500-600
29,Battle_of_Kashii,"May 26, 1615","Kashii, near Wakayama Castle, Kii Province, Japan",Toyotomi defeat and withdrawal,Asano Nagaakira,,3000,5000,L,
30,Battle_of_Kashii,"May 26, 1615","Kashii, near Wakayama Castle, Kii Province, Japan",Toyotomi defeat and withdrawal,Ōno Harunaga,,5000,3000,R,
31,Battle_of_Kashii,"May 26, 1615","Kashii, near Wakayama Castle, Kii Province, Japan",Toyotomi defeat and withdrawal,Hanawa Naoyuki,,5000,3000,R,
32,Battle_of_Kashii,"May 26, 1615","Kashii, near Wakayama Castle, Kii Province, Japan",Toyotomi defeat and withdrawal,Okabe Noritsuna,,5000,3000,R,
33,Battle_of_Tennōji,"June 3, 1615","Osaka Castle, Osaka, Japan and surrounding areas","Tokugawa victory; last resistance to Tokugawa Shogunate eliminated.
End of the siege of Osaka",Tokugawa Ieyasu,"15,000-18,600 dead","50,000","150,000",L,"8,000 dead"
34,Battle_of_Tennōji,"June 3, 1615","Osaka Castle, Osaka, Japan and surrounding areas","Tokugawa victory; last resistance to Tokugawa Shogunate eliminated.
End of the siege of Osaka",Tokugawa Hidetada,"15,000-18,600 dead","50,000","150,000",L,"8,000 dead"
35,Battle_of_Tennōji,"June 3, 1615","Osaka Castle, Osaka, Japan and surrounding areas","Tokugawa victory; last resistance to Tokugawa Shogunate eliminated.
End of the siege of Osaka",Matsudaira Tadanao,"15,000-18,600 dead","50,000","150,000",L,"8,000 dead"
36,Battle_of_Tennōji,"June 3, 1615","Osaka Castle, Osaka, Japan and surrounding areas","Tokugawa victory; last resistance to Tokugawa Shogunate eliminated.
End of the siege of Osaka",Toyotomi Hideyori,"8,000 dead","150,000","50,000",R,"15,000-18,600 dead"
37,Battle_of_Tennōji,"June 3, 1615","Osaka Castle, Osaka, Japan and surrounding areas","Tokugawa victory; last resistance to Tokugawa Shogunate eliminated.
End of the siege of Osaka",Sanada Yukimura,"8,000 dead","150,000","50,000",R,"15,000-18,600 dead"
38,Battle_of_Tennōji,"June 3, 1615","Osaka Castle, Osaka, Japan and surrounding areas","Tokugawa victory; last resistance to Tokugawa Shogunate eliminated.
End of the siege of Osaka",Mōri Katsunaga,"8,000 dead","150,000","50,000",R,"15,000-18,600 dead"
39,Battle_of_Tennōji,"June 3, 1615","Osaka Castle, Osaka, Japan and surrounding areas","Tokugawa victory; last resistance to Tokugawa Shogunate eliminated.
End of the siege of Osaka",Akashi Takenori,"8,000 dead","150,000","50,000",R,"15,000-18,600 dead"
40,Siege_of_Plzeň,"19 September - 21 November 1618
(2 months and 2 days)","Pilsen, Bohemia",Bohemian victory,Ernst von Mansfeld,"2,500","4,000 Burghers
158 cavalry","20,000",L,"1,100"
41,Siege_of_Plzeň,"19 September - 21 November 1618
(2 months and 2 days)","Pilsen, Bohemia",Bohemian victory,"Charles Bonaventure de Longueval, Count of Bucquoy","1,100","20,000","4,000 Burghers
158 cavalry",R,"2,500"
42,Siege_of_Plzeň,"19 September - 21 November 1618
(2 months and 2 days)","Pilsen, Bohemia",Bohemian victory,Torquato Conti,"1,100","20,000","4,000 Burghers
158 cavalry",R,"2,500"
43,Battle_of_Sablat,10 June 1619,"Záblatí near Dříteň, southern Bohemia (present-day Czech Republic)",Imperial victory,Ernst von Mansfeld,650,"5,000","3,200",L,"1,500 dead or wounded"
44,Battle_of_Sablat,10 June 1619,"Záblatí near Dříteň, southern Bohemia (present-day Czech Republic)",Imperial victory,"Charles Bonaventure de Longueval, Count of Bucquoy","1,500 dead or wounded","3,200","5,000",R,650
45,Battle_of_Sarhu,14 April 1619 – 18 April 1619,"Fushun, China",Decisive Later Jin victory,Nurhaci,"45,000[3]
300 officers[3]
28,000 horses[3]","Ming: 90,000-120,000[3]
Joseon: 13,000[3]","60,000[1][2]",L,"2,000-5,000[4][5][3]"
46,Battle_of_Sarhu,14 April 1619 – 18 April 1619,"Fushun, China",Decisive Later Jin victory,Hong Taiji,"45,000[3]
300 officers[3]
28,000 horses[3]","Ming: 90,000-120,000[3]
Joseon: 13,000[3]","60,000[1][2]",L,"2,000-5,000[4][5][3]"
47,Battle_of_Sarhu,14 April 1619 – 18 April 1619,"Fushun, China",Decisive Later Jin victory,Daišan,"45,000[3]
300 officers[3]
28,000 horses[3]","Ming: 90,000-120,000[3]
Joseon: 13,000[3]","60,000[1][2]",L,"2,000-5,000[4][5][3]"
48,Battle_of_Sarhu,14 April 1619 – 18 April 1619,"Fushun, China",Decisive Later Jin victory,Laimbu,"45,000[3]
300 officers[3]
28,000 horses[3]","Ming: 90,000-120,000[3]
Joseon: 13,000[3]","60,000[1][2]",L,"2,000-5,000[4][5][3]"
49,Battle_of_Sarhu,14 April 1619 – 18 April 1619,"Fushun, China",Decisive Later Jin victory,Li Rubai,"2,000-5,000[4][5][3]","60,000[1][2]","Ming: 90,000-120,000[3]
Joseon: 13,000[3]",R,"45,000[3]
300 officers[3]
28,000 horses[3]"
50,Battle_of_Sarhu,14 April 1619 – 18 April 1619,"Fushun, China",Decisive Later Jin victory,Gang Hong-rip,"2,000-5,000[4][5][3]","60,000[1][2]","Ming: 90,000-120,000[3]
Joseon: 13,000[3]",R,"45,000[3]
300 officers[3]
28,000 horses[3]"
51,Battle_of_Wisternitz,"August 5, 1619",Dolní Věstonice (present-day Czech Republic),Bohemian victory,Friedrich von Tiefenbach,"6,000","8,000-12,000","3,500",L,700
52,Battle_of_Wisternitz,"August 5, 1619",Dolní Věstonice (present-day Czech Republic),Bohemian victory,Ladislav Velen ze Žerotína,"6,000","8,000-12,000","3,500",L,700
53,Battle_of_Wisternitz,"August 5, 1619",Dolní Věstonice (present-day Czech Republic),Bohemian victory,Heinrich von Dampierre – Wikipedia,700,"3,500","8,000-12,000",R,"6,000"
54,Battle_of_White_Mountain,8 November 1620,"Bílá Hora near Prague, Bohemia
(present-day Prague, Czech Republic)
50°04′42″N 14°19′10″E﻿ / ﻿50.07833°N 14.31944°E﻿ / 50.07833; 14.31944Coordinates: 50°04′42″N 14°19′10″E﻿ / ﻿50.07833°N 14.31944°E﻿ / 50.07833; 14.31944","Decisive victory for Ferdinand II, Holy Roman Emperor and his Catholic allies

Outcome:

Bohemian Revolt ended
Denmark and Sweden join the Thirty Years' War

Outcome for the Bohemian Estates:

Heavy material losses, big reduction in farmsteads
Substantial decline of the population
Forced conversion to Roman Catholicism
Eradication of Protestantism
Decline of the Czech language
German established as the main language of Bohemian aristocracy
Old Town Square execution
Bohemian aristocracy partly exiled to Protestant countries

Outcome for the Holy Roman Emperor and his allies:

Frederick V, Elector Palatine flees Bohemia
Ferdinand II, Holy Roman Emperor regains Bohemian throne
Restoration of Habsburg control","Christian I, Prince of Anhalt-Bernburg",700 dead or wounded[1],"27,000 men:
(From the Empire, the Catholic League, soldiers from Spain, the Spanish Netherlands and Polish Lisowczycy)","15,000 men:
(Mainly mercenaries from Bohemia and the German lands, Hungarian and Austrian allies)",L,"4,000 dead or wounded[1]"
55,Battle_of_White_Mountain,8 November 1620,"Bílá Hora near Prague, Bohemia
(present-day Prague, Czech Republic)
50°04′42″N 14°19′10″E﻿ / ﻿50.07833°N 14.31944°E﻿ / 50.07833; 14.31944Coordinates: 50°04′42″N 14°19′10″E﻿ / ﻿50.07833°N 14.31944°E﻿ / 50.07833; 14.31944","Decisive victory for Ferdinand II, Holy Roman Emperor and his Catholic allies

Outcome:

Bohemian Revolt ended
Denmark and Sweden join the Thirty Years' War

Outcome for the Bohemian Estates:

Heavy material losses, big reduction in farmsteads
Substantial decline of the population
Forced conversion to Roman Catholicism
Eradication of Protestantism
Decline of the Czech language
German established as the main language of Bohemian aristocracy
Old Town Square execution
Bohemian aristocracy partly exiled to Protestant countries

Outcome for the Holy Roman Emperor and his allies:

Frederick V, Elector Palatine flees Bohemia
Ferdinand II, Holy Roman Emperor regains Bohemian throne
Restoration of Habsburg control",Jindřich Matyáš Thurn,700 dead or wounded[1],"27,000 men:
(From the Empire, the Catholic League, soldiers from Spain, the Spanish Netherlands and Polish Lisowczycy)","15,000 men:
(Mainly mercenaries from Bohemia and the German lands, Hungarian and Austrian allies)",L,"4,000 dead or wounded[1]"
56,Battle_of_White_Mountain,8 November 1620,"Bílá Hora near Prague, Bohemia
(present-day Prague, Czech Republic)
50°04′42″N 14°19′10″E﻿ / ﻿50.07833°N 14.31944°E﻿ / 50.07833; 14.31944Coordinates: 50°04′42″N 14°19′10″E﻿ / ﻿50.07833°N 14.31944°E﻿ / 50.07833; 14.31944","Decisive victory for Ferdinand II, Holy Roman Emperor and his Catholic allies

Outcome:

Bohemian Revolt ended
Denmark and Sweden join the Thirty Years' War

Outcome for the Bohemian Estates:

Heavy material losses, big reduction in farmsteads
Substantial decline of the population
Forced conversion to Roman Catholicism
Eradication of Protestantism
Decline of the Czech language
German established as the main language of Bohemian aristocracy
Old Town Square execution
Bohemian aristocracy partly exiled to Protestant countries

Outcome for the Holy Roman Emperor and his allies:

Frederick V, Elector Palatine flees Bohemia
Ferdinand II, Holy Roman Emperor regains Bohemian throne
Restoration of Habsburg control","Charles Bonaventure de Longueval, Count of Bucquoy","4,000 dead or wounded[1]","15,000 men:
(Mainly mercenaries from Bohemia and the German lands, Hungarian and Austrian allies)","27,000 men:
(From the Empire, the Catholic League, soldiers from Spain, the Spanish Netherlands and Polish Lisowczycy)",R,700 dead or wounded[1]
57,Battle_of_White_Mountain,8 November 1620,"Bílá Hora near Prague, Bohemia
(present-day Prague, Czech Republic)
50°04′42″N 14°19′10″E﻿ / ﻿50.07833°N 14.31944°E﻿ / 50.07833; 14.31944Coordinates: 50°04′42″N 14°19′10″E﻿ / ﻿50.07833°N 14.31944°E﻿ / 50.07833; 14.31944","Decisive victory for Ferdinand II, Holy Roman Emperor and his Catholic allies

Outcome:

Bohemian Revolt ended
Denmark and Sweden join the Thirty Years' War

Outcome for the Bohemian Estates:

Heavy material losses, big reduction in farmsteads
Substantial decline of the population
Forced conversion to Roman Catholicism
Eradication of Protestantism
Decline of the Czech language
German established as the main language of Bohemian aristocracy
Old Town Square execution
Bohemian aristocracy partly exiled to Protestant countries

Outcome for the Holy Roman Emperor and his allies:

Frederick V, Elector Palatine flees Bohemia
Ferdinand II, Holy Roman Emperor regains Bohemian throne
Restoration of Habsburg control","Johann Tserclaes, Count of Tilly","4,000 dead or wounded[1]","15,000 men:
(Mainly mercenaries from Bohemia and the German lands, Hungarian and Austrian allies)","27,000 men:
(From the Empire, the Catholic League, soldiers from Spain, the Spanish Netherlands and Polish Lisowczycy)",R,700 dead or wounded[1]
58,Battle_of_Cecora_(1620),17 September – 7 October 1620,"near Țuțora and Prut river, Moldavia",Decisive Ottoman victory[1],Stanisław Żółkiewski,Unknown,"20,000 Ottoman troops[2] to 60,000[3]:344
unknown Wallachian troops","9,000 Commonwealth troops[2]
600-1000 Moldavian troops",L,Unknown
59,Battle_of_Cecora_(1620),17 September – 7 October 1620,"near Țuțora and Prut river, Moldavia",Decisive Ottoman victory[1],Stanisław Koniecpolski,Unknown,"20,000 Ottoman troops[2] to 60,000[3]:344
unknown Wallachian troops","9,000 Commonwealth troops[2]
600-1000 Moldavian troops",L,Unknown
60,Battle_of_Cecora_(1620),17 September – 7 October 1620,"near Țuțora and Prut river, Moldavia",Decisive Ottoman victory[1],Gaspar Graziani,Unknown,"20,000 Ottoman troops[2] to 60,000[3]:344
unknown Wallachian troops","9,000 Commonwealth troops[2]
600-1000 Moldavian troops",L,Unknown
61,Battle_of_Cecora_(1620),17 September – 7 October 1620,"near Țuțora and Prut river, Moldavia",Decisive Ottoman victory[1],Iskender Pasha (governor of Ozi),Unknown,"9,000 Commonwealth troops[2]
600-1000 Moldavian troops","20,000 Ottoman troops[2] to 60,000[3]:344
unknown Wallachian troops",R,Unknown
62,Battle_of_Cecora_(1620),17 September – 7 October 1620,"near Țuțora and Prut river, Moldavia",Decisive Ottoman victory[1],Khan Temir,Unknown,"9,000 Commonwealth troops[2]
600-1000 Moldavian troops","20,000 Ottoman troops[2] to 60,000[3]:344
unknown Wallachian troops",R,Unknown
63,Battle_of_Cecora_(1620),17 September – 7 October 1620,"near Țuțora and Prut river, Moldavia",Decisive Ottoman victory[1],Gabriel Bethlen,Unknown,"9,000 Commonwealth troops[2]
600-1000 Moldavian troops","20,000 Ottoman troops[2] to 60,000[3]:344
unknown Wallachian troops",R,Unknown
64,Battle_of_Khotyn_(1621),2 September-9 October 1621,"Near Khotyn, Ukraine",Polish-Lithuanian Commonwealth victory[1],Hetman,"40,000[5]","120,000–150,000 Ottoman and Tatar, 13,000 Moldavian and Wallachian troops[3][better source needed]
'34,825 Kapikulu (regular army)' [4]
~18,000 Janissary
~1,800 Cebeci
~1,300 artillery corps
~13,000 Kapikulu cavalry.","25,000 Polish-Lithuanian troops and 20,000 Cossacks[2] or 50,000–60,000[3]
~half Polish-Lithuanian troops, half Cossack troops",L,"14,000[5]"
65,Battle_of_Khotyn_(1621),2 September-9 October 1621,"Near Khotyn, Ukraine",Polish-Lithuanian Commonwealth victory[1],Jan Karol Chodkiewicz,"40,000[5]","120,000–150,000 Ottoman and Tatar, 13,000 Moldavian and Wallachian troops[3][better source needed]
'34,825 Kapikulu (regular army)' [4]
~18,000 Janissary
~1,800 Cebeci
~1,300 artillery corps
~13,000 Kapikulu cavalry.","25,000 Polish-Lithuanian troops and 20,000 Cossacks[2] or 50,000–60,000[3]
~half Polish-Lithuanian troops, half Cossack troops",L,"14,000[5]"
66,Battle_of_Khotyn_(1621),2 September-9 October 1621,"Near Khotyn, Ukraine",Polish-Lithuanian Commonwealth victory[1],Regimentarz,"40,000[5]","120,000–150,000 Ottoman and Tatar, 13,000 Moldavian and Wallachian troops[3][better source needed]
'34,825 Kapikulu (regular army)' [4]
~18,000 Janissary
~1,800 Cebeci
~1,300 artillery corps
~13,000 Kapikulu cavalry.","25,000 Polish-Lithuanian troops and 20,000 Cossacks[2] or 50,000–60,000[3]
~half Polish-Lithuanian troops, half Cossack troops",L,"14,000[5]"
67,Battle_of_Khotyn_(1621),2 September-9 October 1621,"Near Khotyn, Ukraine",Polish-Lithuanian Commonwealth victory[1],Stanisław Lubomirski (1583–1649),"40,000[5]","120,000–150,000 Ottoman and Tatar, 13,000 Moldavian and Wallachian troops[3][better source needed]
'34,825 Kapikulu (regular army)' [4]
~18,000 Janissary
~1,800 Cebeci
~1,300 artillery corps
~13,000 Kapikulu cavalry.","25,000 Polish-Lithuanian troops and 20,000 Cossacks[2] or 50,000–60,000[3]
~half Polish-Lithuanian troops, half Cossack troops",L,"14,000[5]"
68,Battle_of_Khotyn_(1621),2 September-9 October 1621,"Near Khotyn, Ukraine",Polish-Lithuanian Commonwealth victory[1],Władysław IV Vasa,"40,000[5]","120,000–150,000 Ottoman and Tatar, 13,000 Moldavian and Wallachian troops[3][better source needed]
'34,825 Kapikulu (regular army)' [4]
~18,000 Janissary
~1,800 Cebeci
~1,300 artillery corps
~13,000 Kapikulu cavalry.","25,000 Polish-Lithuanian troops and 20,000 Cossacks[2] or 50,000–60,000[3]
~half Polish-Lithuanian troops, half Cossack troops",L,"14,000[5]"
69,Battle_of_Khotyn_(1621),2 September-9 October 1621,"Near Khotyn, Ukraine",Polish-Lithuanian Commonwealth victory[1],Hetmans of Ukrainian Cossacks,"40,000[5]","120,000–150,000 Ottoman and Tatar, 13,000 Moldavian and Wallachian troops[3][better source needed]
'34,825 Kapikulu (regular army)' [4]
~18,000 Janissary
~1,800 Cebeci
~1,300 artillery corps
~13,000 Kapikulu cavalry.","25,000 Polish-Lithuanian troops and 20,000 Cossacks[2] or 50,000–60,000[3]
~half Polish-Lithuanian troops, half Cossack troops",L,"14,000[5]"
70,Battle_of_Khotyn_(1621),2 September-9 October 1621,"Near Khotyn, Ukraine",Polish-Lithuanian Commonwealth victory[1],Petro Konashevych-Sahaidachny,"40,000[5]","120,000–150,000 Ottoman and Tatar, 13,000 Moldavian and Wallachian troops[3][better source needed]
'34,825 Kapikulu (regular army)' [4]
~18,000 Janissary
~1,800 Cebeci
~1,300 artillery corps
~13,000 Kapikulu cavalry.","25,000 Polish-Lithuanian troops and 20,000 Cossacks[2] or 50,000–60,000[3]
~half Polish-Lithuanian troops, half Cossack troops",L,"14,000[5]"
71,Battle_of_Khotyn_(1621),2 September-9 October 1621,"Near Khotyn, Ukraine",Polish-Lithuanian Commonwealth victory[1],Sultan,"14,000[5]","25,000 Polish-Lithuanian troops and 20,000 Cossacks[2] or 50,000–60,000[3]
~half Polish-Lithuanian troops, half Cossack troops","120,000–150,000 Ottoman and Tatar, 13,000 Moldavian and Wallachian troops[3][better source needed]
'34,825 Kapikulu (regular army)' [4]
~18,000 Janissary
~1,800 Cebeci
~1,300 artillery corps
~13,000 Kapikulu cavalry.",R,"40,000[5]"
72,Battle_of_Khotyn_(1621),2 September-9 October 1621,"Near Khotyn, Ukraine",Polish-Lithuanian Commonwealth victory[1],Osman II,"14,000[5]","25,000 Polish-Lithuanian troops and 20,000 Cossacks[2] or 50,000–60,000[3]
~half Polish-Lithuanian troops, half Cossack troops","120,000–150,000 Ottoman and Tatar, 13,000 Moldavian and Wallachian troops[3][better source needed]
'34,825 Kapikulu (regular army)' [4]
~18,000 Janissary
~1,800 Cebeci
~1,300 artillery corps
~13,000 Kapikulu cavalry.",R,"40,000[5]"
73,Battle_of_Khotyn_(1621),2 September-9 October 1621,"Near Khotyn, Ukraine",Polish-Lithuanian Commonwealth victory[1],Grand vizier,"14,000[5]","25,000 Polish-Lithuanian troops and 20,000 Cossacks[2] or 50,000–60,000[3]
~half Polish-Lithuanian troops, half Cossack troops","120,000–150,000 Ottoman and Tatar, 13,000 Moldavian and Wallachian troops[3][better source needed]
'34,825 Kapikulu (regular army)' [4]
~18,000 Janissary
~1,800 Cebeci
~1,300 artillery corps
~13,000 Kapikulu cavalry.",R,"40,000[5]"
74,Battle_of_Khotyn_(1621),2 September-9 October 1621,"Near Khotyn, Ukraine",Polish-Lithuanian Commonwealth victory[1],Ohrili Hüseyin Pasha,"14,000[5]","25,000 Polish-Lithuanian troops and 20,000 Cossacks[2] or 50,000–60,000[3]
~half Polish-Lithuanian troops, half Cossack troops","120,000–150,000 Ottoman and Tatar, 13,000 Moldavian and Wallachian troops[3][better source needed]
'34,825 Kapikulu (regular army)' [4]
~18,000 Janissary
~1,800 Cebeci
~1,300 artillery corps
~13,000 Kapikulu cavalry.",R,"40,000[5]"
