,Battle,Date,Location,Result,belligerent,inflicted,opp,own,pos,taken,VorD
369,Battle_of_Rathmines,2 August 1649,"Rathmines near Dublin, eastern Ireland",English Parliamentarian Victory,"James Butler, 1st Duke of Ormond",Low,"5,000","11,000",L,"c.600–1,500 killed 2,500 captured",
387,Battle_of_Plymouth,16 August 1652,"Off Plymouth, English Channel",Dutch victory,Michiel de Ruyter,"700 killed or wounded
1 Fireship destroyed",38 ships,31 warships and 60 merchant ships,L,60 killed & 50 wounded,
395,Battle_of_Livorno,4 March 1653,"near Leghorn, Italy",Dutch victory,Richard Badiley,Unknown,unknown,unknown,L,"2 ships sunk
3 ships captured
150 dead or injured
50 captured",
397,Battle_of_Leghorn,4 March 1653,"near Leghorn, Italy",Dutch victory,Richard Badiley,Unknown,unknown,unknown,L,"2 ships sunk
3 ships captured
150 dead or injured
50 captured",
407,Battle_of_Arras_(1654),23–25 August 1654,Arras (present-day France),French victory,"Henri de la Tour d'Auvergne, Vicomte de Turenne","3,000
63 guns","22,000
63 guns","26,000",L,400[1],
475,Battle_of_Saraighat,"Middle of March, 1671","Saraighat, Guwahati, Assam, India",Decisive Ahom Victory,Lachit Borphukan,"4000 men, 3 amirs",unknown,unknown,L,,
489,Siege_of_Bonn_(1673),3-12 November 1673,"near Bonn, present-day Germany",Allied victory,William III of England,,unknown,unknown,R,,
508,Battle_of_Seneffe,11 August 1674,"near Seneffe, present-day Belgium",French victory[1],"Louis, Grand Condé","14,000[3]

8,600 killed or wounded
5,400 captured","62,000

40,000 infantry
22,000 cavalry
~70 guns[2]","44,200

30,000 infantry
14,200 cavalry
60 guns",L,"10,000 killed, wounded or captured[2]",
516,Battle_of_Turckheim,5 January 1675,"Turckheim (now in Alsace, France)",French victory,Alexander von Bournonville,Unknown,"33,000","30,000",R,"3,400
900 killed or wounded
2,500 captured",
520,Great_Swamp_Fight,"December 19, 1675","South Kingstown, Rhode Island",New England victory,Massachusetts Bay Colony,"~ 97 warriors killed, plus 300-1000 women, children and elderly[2]
~300 captured
1 fort destroyed[3]","1,000 warriors
1 fort","1,000 militia
150 warriors",L,"~70 killed
~150 wounded",
570,Battle_of_Saint-Denis_(1678),14–15 August 1678,"near Saint-Denis, Spanish Netherlands (present-day Belgium)",Inconclusive[1][2],"François-Henri de Montmorency, duc de Luxembourg","4,500 killed or wounded","40,000","40,000",L,"2,500 killed or wounded",
572,Battle_of_Drumclog,1 June 1679,"High Drumclog, South Lanarkshire, Scotland",Covenanter victory,William Cleland,,unknown,unknown,L,,
591,Battle_of_Vienna,12 September 1683[1],"Vienna, Holy Roman Empire (modern day Austria)","Decisive Christian Coalition victory[1]

Siege of Vienna lifted
Ottomans suffer heavy losses and are severely weakened
Coalition of Christians establishes Holy League under Pope Innocent XI to further push back the Ottomans",List of sultans of the Ottoman Empire,"Casualties during battle: 4,500,[16]:661
3,500 dead or wounded (1,300 Poles)[17]

Casualties during siege: 12,000[7]","Viennese garrison:
11,000 soldiers[2] + 5,000 volunteers[2]
312 guns but only 141 operational[2]
(strength on 10 September 1683)

Relief force:
47,000 Germans & Austrians with some 112 guns[3]
27,000 Poles with 28 guns[4]

Total:
90,000 but some left behind to guard bridges near Tulln and camps. + 2,000 Imperial cavalry (not included above) left behind the Danube.[5]
[Note 1] – alternative estimates","140,000 as of 10 September 1683,[10] down from 170,000 at the start of the campaign, according to documents on the order of battle found in Kara Mustafa's tent.[11]
[Note 2] – alternative estimates

Approximately 150 guns[7]",R,"Dead during battle: 8,000–15,000,[16]:661

Captured: 5,000[16]:661",
612,Battle_of_Bhangani,18 September 1688,"Bhangani, near Paonta, Punjab region (now Himachal Pradesh)
Coordinates: 30°29′21″N 77°43′42″E﻿ / ﻿30.489121°N 77.728416°E﻿ / 30.489121; 77.728416",Guru Gobind Singh victory .[1][2],Pir Budhu Shah,,unknown,unknown,L,,
635,Battle_of_Slankamen,19 August 1691,"Slankamen (40 miles north of Belgrade), Sanjak of Syrmia, Ottoman Empire (today Serbia)",Decisive Imperial victory,Köprülüzade Fazıl Mustafa Pasha,Unknown,"33,000 men[1]
90 guns","50,000 men[1]
158 guns",R,"25,000[1]",
653,Battle_of_Neerwinden_(1693),29 July 1693,"Neerwinden, present-day Belgium",French victory,"François-Henri de Montmorency, duc de Luxembourg","14,000
12,000 killed or wounded
2,000 missing or captured","50,000[1]","66,000[1]",L,"9,000
8,000 killed or wounded
1,000 missing or captured",
682,Battle_of_Cremona,1 February 1702,Cremona (present-day Italy),Indecisive,Prince Eugene of Savoy,"1,000 dead",unknown,unknown,L,About 500,
717,Siege_of_Barcelona_(1706),3–27 April 1706,"Barcelona, Principality of Catalonia, Spain",Grand Alliance victory.,"Charles Mordaunt, 3rd Earl of Peterborough",,unknown,unknown,L,,
732,Battle_of_Almansa,25 April 1707,"Almansa, Albacete, Spain",Franco-Spanish victory,"Henri de Massue, Earl of Galway","2,000 dead or wounded","25,000","22,000",L,"7,000 dead or wounded
12,000 captured",
765,Battle_of_Helsingborg,"February 27, 1710 (O.S.)
February 28, 1710 (Swedish calendar)
March 10, 1710 (N.S.)","Helsingborg, Sweden",Decisive Swedish victory,Sweden,"7,500:[1]
1,500 killed
3,500 wounded
2,677 captured","14,000:[1]
10,000 infantry
4,000 cavalry
29 cannon","14,000:[1]
8,400 infantry
5,500 cavalry
32 cannon",L,"3,000:[1]
897 killed
2,098 wounded",
798,Battle_of_Gadebusch,"9 December 1712 (O.S.)
20 December 1712 (N.S.)","Wakenstädt near Gadebusch, 35 km southern of Lübeck in modern Germany",Swedish victory,Sweden,"6,500:[d]
2,500 killed,
4,000 captured (of which 1,500 were wounded)","17,000:[b]
8,300 Danish foot,
4,900 Danish horse,
3,800 Saxon horse,
14 cannon","12,500:[a]
6,500 foot,
6,000 horse,
20 or 30 cannon",L,"1,600:[c]
550 killed,
1,022 wounded",
823,Battle_of_the_Salween_River,September 1718,"Salween River, Tibet",Dzungar victory,Erentei,,unknown,unknown,L,,
825,Siege_of_Fredriksten,"November 30, 1718","Fredriksten, Fredrikshald (today's Halden), Norway",Danish-Norwegian victory,Charles XII of Sweden,"9 dead, 10 wounded, 19 captives, 22 died of sickness, 41 escaped, 478 got sick.","1,800","6,000",L,200 including Charles,
833,Battle_of_Palkhed,"February 28, 1728","Palkhed, Maharashtra, India",Decisive Maratha victory[1],Peshwa,,unknown,unknown,L,,
863,Battle_of_Cartagena_de_Indias,March–May 1741,"Cartagena de Indias, Viceroyalty of New Granada (present-day Colombia)","Decisive Spanish victory: British withdrawal, Spain consolidates its supremacy in South America.",Edward Vernon,"800 dead[19]
1,200 wounded[20]
6 ships lost
5 forts
3 batteries","3,000–4,000 military personnel:[7]

2,700 regulars[8] and 400 marines
600 sailors and 300 militia[9][10]
600 native archers
6 ships of the line and numerous shore-based guns","27,400–30,000 military personnel:[1][2]

12,000 regulars, marines and militia[3]
15,398 Royal Navy sailors[4]

29 ships of the line
22 frigates[5]
135 transports and other craft[6]",L,"9,500–11,500 dead[11][12][13]
7,500 wounded and sick
1,500 guns lost[14]
6 Royal Navy ships lost[15][16]
17 Royal Navy ships of the line heavily damaged[13][17]
4 frigates and 27 transports lost[18]",
920,Battle_of_Culloden_Moor,16 April 1746,"Culloden, east of Inverness
grid reference NH742450[1]
Coordinates: 57°28′42″N 4°5′51″W﻿ / ﻿57.47833°N 4.09750°W﻿ / 57.47833; -4.09750","Decisive government victory
End of Jacobite rising","Prince William, Duke of Cumberland","Jacobites:
1,500–2,000 killed or wounded[2][3]
154 captured[2]
France:
222 captured[2]","7,000
12 guns","8,000
10 guns
6 mortars",L,"240–400 killed[2]
1000 wounded[2]",
963,Braddock_Expedition,May–July 1755,"Maryland, Pennsylvania and Ohio Country",French and Indian victory,Thomas Gage,"30 killed
57 wounded[4]","637 natives,
108 regulars
146 militia[1]","2,100 regulars and militia
10 cannon[1][2][3]",R,"500+ killed[1]
450+ wounded[5]",
968,Battle_of_Lobositz,1 October 1756,"Lovosice, Bohemia, present-day Czech Republic",Prussian victory,Frederick the Great,"3,291
2,873 killed or wounded[1]
418 captured
3 guns
2 flags","33,354 men
94 guns","28,300 men[1]
98 guns",L,"2,906[1]",
977,Battle_of_Kolín,18 June 1757,"Kolín, Bohemia, (now the Central Bohemian Region of the Czech Republic) about 55 kilometres (34 mi) east of Prague
50°01′44″N 15°07′19″E﻿ / ﻿50.029°N 15.122°E﻿ / 50.029; 15.122Coordinates: 50°01′44″N 15°07′19″E﻿ / ﻿50.029°N 15.122°E﻿ / 50.029; 15.122",Austrian victory,Count Leopold Joseph von Daun,"13,733[1]
8,353 killed or wounded
5,380 captured
45 guns","34,000","53,790
154 guns",L,"8,100[1]
6,600 killed or wounded
1,500 captured",
1015,Battle_of_Zorndorf,25 August 1758,"Zorndorf, Margraviate of Brandenburg (now Sarbinowo, Poland)",Inconclusive[1][2][3][4][5][6][7],Frederick the Great,"16,000[4]
Prussian claim: 18,000–22,000[4][10]
103 guns (Russian sources mention only 30)[6])
27 flags[13]","43,500
210 guns[8]","36,000
167 guns[8]",L,"11,390–12,800[9]
3,680 killed
7,710 wounded or missing[10][11]
26 guns[12]",
1068,Battle_of_Meissen,4 December 1759,"Meissen, Saxony, present-day Germany",Austrian victory,Philipp Levin von Beck,"1,943
400 killed or wounded
1,543 captured","3,500","8,000",L,"187
72 killed
115 wounded",
1070,Battle_of_Sainte-Foy,"April 28, 1760","Quebec, Canada, New France (present-day Canada)
Coordinates: 46°47′59″N 71°13′15″W﻿ / ﻿46.79972°N 71.22083°W﻿ / 46.79972; -71.22083",French victory,François Gaston de Lévis,"259 killed
829 wounded[2]","3,800 regulars
27 guns","5,000 regulars and militia[1]",L,"193 killed
640 wounded[2]",
1078,Battle_of_the_Thousand_Islands,16–24 August 1760,"Saint Lawrence River, Thousand Islands near Ogdensburg, New York and Prescott, Ontario",British-Iroquois victory,"Jeffery Amherst, 1st Baron Amherst","300 dead, wounded, or captured",300 regulars and sailors,"11,000 regulars and provincial troops
700 Iroquois",L,"26 dead
47 wounded (likely excluding militia)",
1104,Battle_of_Manila_(1762),24 September – 6 October 1762,"Manila, Philippines",British victory,Knight,147 killed and wounded[4][5],"10,300 men[2]
15 ships[1]:22–23","556 regular Spanish troops[1]:12
8,600 Filipino troops
200 French and British deserters[3]",R,"~100 killed and wounded
361 surrendered[5]",
1112,Battle_of_Borgo,"October 8 – 9, 1768","Borgo, Haute-Corse",Corsican victory,Pasquale Paoli,"600 killed
1000 wounded,
600 captured",3700 men,4000 men,L,,
1115,Battle_of_Ponte_Novu,"May 8 – 9, 1769","Ponte Novu
42°29′6″N 9°16′48″E﻿ / ﻿42.48500°N 9.28000°E﻿ / 42.48500; 9.28000Coordinates: 42°29′6″N 9°16′48″E﻿ / ﻿42.48500°N 9.28000°E﻿ / 42.48500; 9.28000",Decisive French victory,Carlo Salicetti,,unknown,unknown,L,,
1210,Battle_of_Trenton,"December 26, 1776 (1776-12-26)","Trenton, New Jersey",American victory[1],George Washington,"22 killed
83 wounded
800–900 captured[5]","1,500
6 guns[3]","5,400
18 guns[2]",L,"2 dead (of exposure during march)
5 wounded[4]
Additional non-combat casualties likely",
1234,Battle_of_Bennington,"August 16, 1777","Walloomsac, Town of Hoosick, Rensselaer County, New York; about 10 miles (16 km) from Bennington, Vermont
42°56′19″N 73°18′16″W﻿ / ﻿42.93861°N 73.30444°W﻿ / 42.93861; -73.30444Coordinates: 42°56′19″N 73°18′16″W﻿ / ﻿42.93861°N 73.30444°W﻿ / 42.93861; -73.30444",American victory,John Stark,"207 killed
700 captured[7][8] 4 cannon (2-3pdr Baum, 2-6pdr Breymann) lost","800 (Baum)[3]
550–650 (Breymann)[4][5]","2,000 (Stark)[1]
350 (Warner)[2]",L,"30 killed
40 wounded[6]",
1249,Battle_of_1st_Saratoga,"September 19 and October 7, 1777","Stillwater, Saratoga County, New York
42°59′56″N 73°38′15″W﻿ / ﻿42.99889°N 73.63750°W﻿ / 42.99889; -73.63750Coordinates: 42°59′56″N 73°38′15″W﻿ / ﻿42.99889°N 73.63750°W﻿ / 42.99889; -73.63750","Freeman's Farm:

British Pyrrhic victory

Bemis Heights:

Decisive American victory
British surrender October 17",Horatio Gates,"440 killed
695 wounded
6,222 captured[7][5]","7,200 (first battle)[4]
6,600 (second battle)[2]","9,000 (first battle)[1]
over 12,000 (second battle)[2]
over 15,000 (at time of surrender)[3]",L,"90 killed
240 wounded[5][6]",
1268,Battle_of_Bemis_Heights,"September 19 and October 7, 1777","Stillwater, Saratoga County, New York
42°59′56″N 73°38′15″W﻿ / ﻿42.99889°N 73.63750°W﻿ / 42.99889; -73.63750Coordinates: 42°59′56″N 73°38′15″W﻿ / ﻿42.99889°N 73.63750°W﻿ / 42.99889; -73.63750","Freeman's Farm:

British Pyrrhic victory

Bemis Heights:

Decisive American victory
British surrender October 17",Horatio Gates,"440 killed
695 wounded
6,222 captured[7][5]","7,200 (first battle)[4]
6,600 (second battle)[2]","9,000 (first battle)[1]
over 12,000 (second battle)[2]
over 15,000 (at time of surrender)[3]",L,"90 killed
240 wounded[5][6]",
1278,Battle_of_Stillwater,"September 19 and October 7, 1777","Stillwater, Saratoga County, New York
42°59′56″N 73°38′15″W﻿ / ﻿42.99889°N 73.63750°W﻿ / 42.99889; -73.63750Coordinates: 42°59′56″N 73°38′15″W﻿ / ﻿42.99889°N 73.63750°W﻿ / 42.99889; -73.63750","Freeman's Farm:

British Pyrrhic victory

Bemis Heights:

Decisive American victory
British surrender October 17",Horatio Gates,"440 killed
695 wounded
6,222 captured[7][5]","7,200 (first battle)[4]
6,600 (second battle)[2]","9,000 (first battle)[1]
over 12,000 (second battle)[2]
over 15,000 (at time of surrender)[3]",L,"90 killed
240 wounded[5][6]",
1304,Battle_of_Ushant_(1778),27 July 1778,"Bay of Biscay, 100 miles (160 km) off Ushant
48°33′36.9″N 7°22′58.13″W﻿ / ﻿48.560250°N 7.3828139°W﻿ / 48.560250; -7.3828139Coordinates: 48°33′36.9″N 7°22′58.13″W﻿ / ﻿48.560250°N 7.3828139°W﻿ / 48.560250; -7.3828139",Indecisive,"Sir Robert Harland, 1st Baronet","126 killed
413 wounded[1]",32 ships (30 ships of the line),29 ships (all ships of the line),L,"407 killed
789 wounded[1]",
1308,Battle_of_St._Lucia,15 December 1778,"Off St. Lucia, West Indies",British victory,Charles Henri Hector d'Estaing,230 casualties,7 ships of the line,12 ships of the line,R,850 casualties[1],
1316,Battle_of_Vincennes,23–25 February 1779,"Vincennes, Indiana",American victory,Egushawa,"0 during siege,[3] Joseph Bowman dead of wounds",172 militiamen[1],"90 British regulars
200 Native American allies",L,"11 regulars killed, 5 wounded, 79 captured[2]
4 Native American allies killed[2]",
1323,Battle_of_Grenada,6 July 1779,"Off Grenada, West Indies",French victory[1],Charles Henri Hector d'Estaing,"1,055 dead or wounded,[1]
4 ships heavily damaged","21 ships of the line

1,516 guns","25 ships of the line

1,468 guns",R,"176 dead,
773 wounded[1]",
1340,Siege_of_Savannah,"September 16 – October 18, 1779","Savannah, Georgia
32°03′03″N 81°06′14″W﻿ / ﻿32.05083°N 81.10389°W﻿ / 32.05083; -81.10389Coordinates: 32°03′03″N 81°06′14″W﻿ / ﻿32.05083°N 81.10389°W﻿ / 32.05083; -81.10389",British victory,Charles Henri Hector d'Estaing,"40 killed,[2]
63 wounded,
52 missing
Total:
155[3]","Land:
3,200
infantry,
militia,
unknown artillery
Sea:
8 vessels","Land:
5,050
infantry,
sailors,
militia,
unknown artillery
Sea:
42 ships",L,"244 killed,
584 wounded,
120 prisoners
Total:
948[1]",
1354,Siege_of_Charleston,"March 29, 1780 - May 12, 1780[1]","Charleston, South Carolina
32°47′39.12″N 79°56′31.26″W﻿ / ﻿32.7942000°N 79.9420167°W﻿ / 32.7942000; -79.9420167Coordinates: 32°47′39.12″N 79°56′31.26″W﻿ / ﻿32.7942000°N 79.9420167°W﻿ / 32.7942000; -79.9420167","British victory

City surrendered to British","Henry Clinton (British Army officer, born 1730)","89 killed,
138 wounded
3,371 captured[4]:70","6,577 regulars, sailors and militia
3 frigates
5 sloops
1 schooner
1 brig
3 armed galleys [3]","12,847 regulars and militia
4,500 sailors
6 ships of the line
8 frigates
4 armed galleys
90 transports [2]",L,"76 killed,
189 wounded[4]:70",
1365,Battle_of_Saint_Louis,"May 25, 1780","St. Louis, Spanish Louisiana (present-day Missouri, US) and Cahokia, Illinois Country, Virginia (present-day Illinois, US)
Coordinates: 38°37′27.4″N 90°11′21.2″W﻿ / ﻿38.624278°N 90.189222°W﻿ / 38.624278; -90.189222",Spanish victory,François Vallé,"4 killed
4 wounded[4]","750–1,500 fur traders and Indians[1]","29 regulars
291 militia[1]",L,"50–100 killed, captured, wounded (mostly civilians)[3]",
1369,Battle_of_Springfield_(1780),"June 23, 1780","Springfield Township, Essex County (present day Union County), New Jersey",American victory[1],Nathanael Greene,"Including June 7
25 killed
234 wounded
48 missing[7]","6,000[4]","1,500,[2] reinforced by undetermined number of militia[3]",L,"Continentals
13 killed;
49 wounded;
9 missing[5]
Militia: Including June 7
10 killed;
40 wounded;
10 captured[6]",
1378,Battle_of_King's_Mountain,"October 7, 1780","Kings Mountain, South Carolina",Patriot victory,William Campbell (general),"290 killed
163 wounded
668 captured[2][1]","1,105",900,L,"28 killed
62 wounded[1]",
1391,Battle_of_Guilford_Court_House,"March 15, 1781","present day Greensboro, North Carolina, U.S.","Pyrrhic British victory[1]
American strategic advantage",Nathanael Greene,"93 killed
408 wounded
25 missing or captured[8][9]","2,100[2]","4,500[2]",L,"79 or 94 killed[3]
185 wounded
1,046 missing (mostly militia who left after the battle)[4][5][6][7]",
1405,Battle_of_the_Chesapeake,5 September 1781,"off the Virginia Capes, Atlantic Ocean, United States","Decisive French victory[1]

British defeat at Yorktown solidified",François Joseph Paul de Grasse,"90 killed
246 wounded
5 ships damaged
1 ship scuttled[4][5]","19 ships of the line with 1,410 guns[3]","24 ships of the line with 1,542 guns[2]",L,"220 killed or wounded
2 ships damaged[4]",
1412,Battle_of_Yorktown_(1781),"September 28 – October 19, 1781","Yorktown, Virginia
37°14′21″N 76°30′38″W﻿ / ﻿37.239301°N 76.510692°W﻿ / 37.239301; -76.510692Coordinates: 37°14′21″N 76°30′38″W﻿ / ﻿37.239301°N 76.510692°W﻿ / 37.239301; -76.510692","Decisive American and French victory

End of major land operations in North America
Beginning of peace negotiations",George Washington,"142–309 killed;
326–595 wounded prisoners;
7,416–7,685 captured[5]","9,000 (includes German troops)[3]","French: 7,800–8,800 regulars
29 warships[2]
American: 8,000 regulars
3,100 militia[2]
Total: 18,900",L,"88 killed
301 wounded[4]",
1430,Siege_of_Negapatam,21 October–11 November 1781,"Negapatam, then a Dutch colony in India",British victory,"Hector Munro, 8th laird of Novar","unknown killed/wounded
thousands captured","6,100 Dutch colonial troops

600 Dutch
5,500 Indian sepoys

2,100 Mysore troops","4,000 troops",L,Light,
1457,Battle_of_Chillicothe,May 1779,"Chillicothe, Ohio Country;
now in Xenia Township, Greene County, Ohio",Destruction of native town,John Bowman (pioneer),,unknown,unknown,L,,
1516,Battle_of_Boulou,29 April – 1 May 1794,"Le Boulou, Pyrénées-Orientales, France",French victory,Jacques François Dugommier,"3,500, 140 guns[1]","20,000[1]","30,000[1]",L,"20 killed, 300 wounded[2]",
1571,Battle_of_Derbent,1796,"North Caucasus, South Caucasus","Status quo ante bellum

Tactical Russian victory
Strategic Persian victory
Russian withdrawal after the death of Catherine II",Catherine the Great,unknown,"Tofangchi Musketeers
Royal Regiment of Mohammad Khan
Northern Town Watch","50,000[1] (other estimates suggest 30,000-40,000)[2]",L,"2,150 men",
1643,Siege_of_Jaffa,3–7 March 1799,Jaffa,French victory,Napoleon,,unknown,unknown,L,,
1669,Battle_of_Bergen_(1799),19 September 1799,"Bergen, Netherlands",Franco-Dutch victory,Guillaume Brune,"117 killed, 410 wounded, 490 missing
 1,785 killed, 1,225 wounded","30,000","22,000",L,"Unknown killed and wounded, 3,000 taken prisoner, 16 guns captured",
1685,Battle_of_Engen,3 May 1800,"Engen, present-day Germany",French victory.,Jean Victor Marie Moreau,,unknown,unknown,L,,
1712,Second_Battle_of_Algeciras,12–13 July 1801,Gut of Gibraltar,British victory,"James Saumarez, 1st Baron de Saumarez","2,000 casualties
2 ships of the line & 1 frigate destroyed
1 ship of the line captured.",9 ships of the line and 3 frigates (OOB),"6 ships of the line, 2 frigates (inc. one Portuguese frigate, not engaged in combat) (OOB)",L,"18 killed, 101 wounded",
1726,Battle_of_Argaon,28 November 1803,"Argaon, India",British victory,"Arthur Wellesley, 1st Duke of Wellington",345[1],unknown,unknown,L,345[1],
1736,Battle_of_Farrukhabad,14 November 1804,"present-day Uttar Pradesh, India",British victory,Yashwantrao Holkar,,unknown,unknown,L,,
1758,Battle_of_Caldiero_(1805),30 October 1805,"Caldiero, present-day Italy",French victory[1],Archduke,"3,729 total:[2]
3,204 killed or wounded[2]
525 captured[2]","33,000–49,000[1]
23,600–33,000 engaged[1]","49,200[1]",R,"9,221 total:[2]
503 killed[2]
2,209 wounded[2]
1,509 captured[2]
a further 5,000 captured at Cara Albertini[3]",
1760,Battle_of_Austerlitz,2 December 1805,"Austerlitz, Moravia, Austrian Empire
(now Slavkov u Brna, Czech Republic)
49°8′N 16°46′E﻿ / ﻿49.133°N 16.767°E﻿ / 49.133; 16.767Coordinates: 49°8′N 16°46′E﻿ / ﻿49.133°N 16.767°E﻿ / 49.133; 16.767","Decisive French victory



Treaty of Pressburg
Effective end of the Third Coalition",Napoleon,"16,000 dead or wounded,
20,000 captured,
186 guns lost,
45 standards lost[4]
Total: 36,000","89,400-95,000[2]","65,000(including III Corps)[1]",L,"1,305 dead,
6,940 wounded,
(8,245 total),
573 captured,
1 standard lost[3]
Total: 9,000",
1770,Battle_of_Mišar,12–15 August 1806,"Mišar, Serbia",Serbian victory[1],Karađorđe,about 6 000,"40,000 + several French artillery officers","8,000 Serbian rebels",L,400-600,
1782,Battle_of_Eylau,7–8 February 1807,"Preußisch Eylau, East Prussia[a]",Tactical French victory; strategically inconclusive,Napoleon,"15,000[3][4]–20,000[5]","76,000:[1]
Benningsen: 67,000 Russians
L'Estocq: 9,000 Prussians
400 cannons","75,000:[1]
Napoleon: 45,000
Ney: 14,500
Davout: 15,000
300 cannons",L,"15,000–30,000[2]",
