Battle,Date,Location,Result,belligerent,opp,own,pos,VorD,Infantry,Cavalry,Artillery,Ships,Airforce,Special
1948_Arab–Israeli_War,"15 May 1948 – 10 March 1949
(9 months, 3 weeks and 2 days)
Final armistice agreement concluded on 20 July 1949","Former British Mandate of Palestine, Sinai Peninsula, southern Lebanon","Israeli victory
Jordanian partial victory[5][6]
Palestinian Arab defeat
Egyptian defeat
Arab League strategic failure
1949 Armistice Agreements",John Bagot Glubb,"Israel: 29,677 (initially)
117,500 (finally)[Note 1]","Egypt: 10,000 initially, rising to 20,000[citation needed]
Iraq: 3,000 initially, rising to 15,000–18,000[citation needed]
Syria: 2,500–5,000[citation needed]
Transjordan: 8,000–12,000[citation needed]
Lebanon: 1,000[8]
Saudi Arabia: 800–1,200 (Egyptian command)
Yemen: 300[citation needed]
Arab Liberation Army: 3,500–6,000.
Total:
13,000 (initial)
51,100 (minimal)
63,500 (maximum)[Note 2]",R,D,58800,,,,,
1948_Arab–Israeli_War,"15 May 1948 – 10 March 1949
(9 months, 3 weeks and 2 days)
Final armistice agreement concluded on 20 July 1949","Former British Mandate of Palestine, Sinai Peninsula, southern Lebanon","Israeli victory
Jordanian partial victory[5][6]
Palestinian Arab defeat
Egyptian defeat
Arab League strategic failure
1949 Armistice Agreements",Habis al-Majali,"Israel: 29,677 (initially)
117,500 (finally)[Note 1]","Egypt: 10,000 initially, rising to 20,000[citation needed]
Iraq: 3,000 initially, rising to 15,000–18,000[citation needed]
Syria: 2,500–5,000[citation needed]
Transjordan: 8,000–12,000[citation needed]
Lebanon: 1,000[8]
Saudi Arabia: 800–1,200 (Egyptian command)
Yemen: 300[citation needed]
Arab Liberation Army: 3,500–6,000.
Total:
13,000 (initial)
51,100 (minimal)
63,500 (maximum)[Note 2]",R,D,58800,,,,,
1948_Arab–Israeli_War,"15 May 1948 – 10 March 1949
(9 months, 3 weeks and 2 days)
Final armistice agreement concluded on 20 July 1949","Former British Mandate of Palestine, Sinai Peninsula, southern Lebanon","Israeli victory
Jordanian partial victory[5][6]
Palestinian Arab defeat
Egyptian defeat
Arab League strategic failure
1949 Armistice Agreements",Hasan Salama,"Israel: 29,677 (initially)
117,500 (finally)[Note 1]","Egypt: 10,000 initially, rising to 20,000[citation needed]
Iraq: 3,000 initially, rising to 15,000–18,000[citation needed]
Syria: 2,500–5,000[citation needed]
Transjordan: 8,000–12,000[citation needed]
Lebanon: 1,000[8]
Saudi Arabia: 800–1,200 (Egyptian command)
Yemen: 300[citation needed]
Arab Liberation Army: 3,500–6,000.
Total:
13,000 (initial)
51,100 (minimal)
63,500 (maximum)[Note 2]",R,D,58800,,,,,
1948_Arab–Israeli_War,"15 May 1948 – 10 March 1949
(9 months, 3 weeks and 2 days)
Final armistice agreement concluded on 20 July 1949","Former British Mandate of Palestine, Sinai Peninsula, southern Lebanon","Israeli victory
Jordanian partial victory[5][6]
Palestinian Arab defeat
Egyptian defeat
Arab League strategic failure
1949 Armistice Agreements",Arab Liberation Army,"Israel: 29,677 (initially)
117,500 (finally)[Note 1]","Egypt: 10,000 initially, rising to 20,000[citation needed]
Iraq: 3,000 initially, rising to 15,000–18,000[citation needed]
Syria: 2,500–5,000[citation needed]
Transjordan: 8,000–12,000[citation needed]
Lebanon: 1,000[8]
Saudi Arabia: 800–1,200 (Egyptian command)
Yemen: 300[citation needed]
Arab Liberation Army: 3,500–6,000.
Total:
13,000 (initial)
51,100 (minimal)
63,500 (maximum)[Note 2]",R,D,58800,,,,,
1948_Arab–Israeli_War,"15 May 1948 – 10 March 1949
(9 months, 3 weeks and 2 days)
Final armistice agreement concluded on 20 July 1949","Former British Mandate of Palestine, Sinai Peninsula, southern Lebanon","Israeli victory
Jordanian partial victory[5][6]
Palestinian Arab defeat
Egyptian defeat
Arab League strategic failure
1949 Armistice Agreements",Fawzi al-Qawuqji,"Israel: 29,677 (initially)
117,500 (finally)[Note 1]","Egypt: 10,000 initially, rising to 20,000[citation needed]
Iraq: 3,000 initially, rising to 15,000–18,000[citation needed]
Syria: 2,500–5,000[citation needed]
Transjordan: 8,000–12,000[citation needed]
Lebanon: 1,000[8]
Saudi Arabia: 800–1,200 (Egyptian command)
Yemen: 300[citation needed]
Arab Liberation Army: 3,500–6,000.
Total:
13,000 (initial)
51,100 (minimal)
63,500 (maximum)[Note 2]",R,D,58800,,,,,
1998_Battle_of_Kilinochchi,"September 27, 1998 - September 29, 1998","Kilinochchi, Sri Lanka","Tamil Tiger victory
LTTE capture Kilinochchi
SLA capture Mankulam",Chandrika Kumaratunga,Unknown,Unknown,L,D,1,,,,,
Abagana_Ambush,31-Mar-68,Abagana,Biafran victory,Murtala Mohammed,700[4],6000[nb 2],L,D,6000,,,,,
Action_at_Bronkhorstspruit,20 December 1880,"At the Bronkhorstspruit River, Transvaal",Boer victory,Lieutenant colonel (United Kingdom),250,268,L,D,268,,,,,
Action_at_Bronkhorstspruit,20 December 1880,"At the Bronkhorstspruit River, Transvaal",Boer victory,Philip Robert Anstruther,250,268,L,D,268,,,,,
Attack_on_Rabaul,2–11 November 1943,Rabaul on New Britain in the Bismarck Archipelago,"Allied victory, prevented Japanese naval forces from threatening invasion of Bougainville",Mineichi Koga,"3 fleet carriers,
2 light carriers,
2 light cruisers,
9 destroyers,
282 carrier aircraft,
349 land-based aircraft[1]","10 cruisers,
11 destroyers,
200 aircraft[1]",R,D,,,,21,200,
Attack_on_Rabaul,2–11 November 1943,Rabaul on New Britain in the Bismarck Archipelago,"Allied victory, prevented Japanese naval forces from threatening invasion of Bougainville",Jinichi Kusaka,"3 fleet carriers,
2 light carriers,
2 light cruisers,
9 destroyers,
282 carrier aircraft,
349 land-based aircraft[1]","10 cruisers,
11 destroyers,
200 aircraft[1]",R,D,,,,21,200,
"Battle of ""The Saw""",238 BC,"Tunis, Carthage",Decisive Carthaginian victory,Autaritus,"10,000 infantry,
2,000 cavalry","50,000 infantry",R,D,50000,,,,,
Battle of Ä’rÄ£eme,,,,,,,L,D,330,,,,,
Battle of Ä’rÄ£eme,,,,,,,L,D,,330,,,,
Battle of Ã‡Ä±ldÄ±r,,,,,,,R,D,32000,,,,,
Battle of Aanandapuram,29 March – 5 April 2009[1],"Aanandapuram, Sri Lanka",Decisive Sri Lankan Army victory,Velupillai Prabhakaran,"Sri Lanka Army:
58 Division
53 Division
Task Force 8[2]",?,R,D,1,,,,,
Battle of Aanandapuram,29 March – 5 April 2009[1],"Aanandapuram, Sri Lanka",Decisive Sri Lankan Army victory,Pottu Amman (Tamil militant),"Sri Lanka Army:
58 Division
53 Division
Task Force 8[2]",?,R,D,1,,,,,
Battle of Aanandapuram,29 March – 5 April 2009[1],"Aanandapuram, Sri Lanka",Decisive Sri Lankan Army victory,Theepan,"Sri Lanka Army:
58 Division
53 Division
Task Force 8[2]",?,R,D,1,,,,,
Battle of Aanandapuram,29 March – 5 April 2009[1],"Aanandapuram, Sri Lanka",Decisive Sri Lankan Army victory,Sivanadan Somasekaran,"Sri Lanka Army:
58 Division
53 Division
Task Force 8[2]",?,R,D,1,,,,,
Battle of Abrittus,"July or August, 251","Abritus, Moesia Inferior
(modern-day Razgrad, Bulgaria)",Gothic victory,Decius,unknown,unknown,L,D,1,,,,,
Battle of Abrittus,"July or August, 251","Abritus, Moesia Inferior
(modern-day Razgrad, Bulgaria)",Gothic victory,Herennius Etruscus,unknown,unknown,L,D,1,,,,,
Battle of Abydos,November 411 BC,"Near Abydos, in the Hellespont",Athenian victory,Mindarus,74 ships + 18 ships (reinforcement),97 ships,R,D,,,,97,,
Battle of Acheloos,20 August 917,Achelous river near Anchialus,Decisive Bulgarian victory,Leo Phokas the Elder,"60,000[1]","62,000[2]",R,D,62000,,,,,
Battle of Actium,2 September 31 BC,"Ionian sea, near the promontory of Actium in Greece
38°56′04″N 20°44′19″E﻿ / ﻿38.93444°N 20.73861°E﻿ / 38.93444; 20.73861Coordinates: 38°56′04″N 20°44′19″E﻿ / ﻿38.93444°N 20.73861°E﻿ / 38.93444; 20.73861",Decisive victory for Octavian,Mark Antony,"250 galleys
16,000 infantry
3,000 archers.","290 galleys
30–50 Transports
20,000 infantry
2,000 archers",R,D,22000,,,290,,
Battle of Actium,2 September 31 BC,"Ionian sea, near the promontory of Actium in Greece
38°56′04″N 20°44′19″E﻿ / ﻿38.93444°N 20.73861°E﻿ / 38.93444; 20.73861Coordinates: 38°56′04″N 20°44′19″E﻿ / ﻿38.93444°N 20.73861°E﻿ / 38.93444; 20.73861",Decisive victory for Octavian,Gaius Sosius,"250 galleys
16,000 infantry
3,000 archers.","290 galleys
30–50 Transports
20,000 infantry
2,000 archers",R,D,22000,,,290,,
Battle of Actium,2 September 31 BC,"Ionian sea, near the promontory of Actium in Greece
38°56′04″N 20°44′19″E﻿ / ﻿38.93444°N 20.73861°E﻿ / 38.93444; 20.73861Coordinates: 38°56′04″N 20°44′19″E﻿ / ﻿38.93444°N 20.73861°E﻿ / 38.93444; 20.73861",Decisive victory for Octavian,Cleopatra,"250 galleys
16,000 infantry
3,000 archers.","290 galleys
30–50 Transports
20,000 infantry
2,000 archers",R,D,22000,,,290,,
Battle of Ad Decimum,"September 13, 533",Near Carthage,Byzantine victory,Gelimer,"15,000 men","11,000 men",R,D,11000,,,,,
Battle of Ad Decimum,"September 13, 533",Near Carthage,Byzantine victory,Ammatas,"15,000 men","11,000 men",R,D,11000,,,,,
Battle of Adrianople (1205),"April 14, 1205",Surroundings of Adrianople,Decisive Bulgarian victory and capture of the Latin Emperor Baldwin I,"Baldwin I, Latin Emperor","Around 40,000 Bulgarian troops - infantry, cavalry and archers.
Around 14,000 Cuman light and missile cavalry.[1]","Unknown, probably several tens of thousands. Certain number - 300 West European heavy mounted knights, mainly from France.",R,D,40000,,,,,
Battle of Adrianople (324),"July 3, 324","near Adrianople (modern Edirne,  Turkey)",Constantinian victory,Licinius,"130,000[1]","165,000[1]",R,D,165000,,,,,
Battle of Adrianople (378),9 August 378,Near Adrianople,Decisive Gothic victory,Valens,"12,000–15,000[3] or
80,000–100,000[4]","15,000–20,000[1] or
25,000–30,000[2]",L,D,22500,,,,,
Battle of Adys,Early 255 BC,"Hill outside Adis, modern Oudna",Roman victory,Bostar,"15,000 Infantry
500 Cavalry","5,000+ Infantry
500 Cavalry
unknown number of elephants",R,D,5000,500,,,,5
Battle of Adys,Early 255 BC,"Hill outside Adis, modern Oudna",Roman victory,Hamilcar (Drepanum),"15,000 Infantry
500 Cavalry","5,000+ Infantry
500 Cavalry
unknown number of elephants",R,D,5000,500,,,,5
Battle of Adys,Early 255 BC,"Hill outside Adis, modern Oudna",Roman victory,Hasdrubal,"15,000 Infantry
500 Cavalry","5,000+ Infantry
500 Cavalry
unknown number of elephants",R,D,5000,500,,,,5
Battle of Aegospotami,405 BC,"Aegospotami, Hellespont, present-day Turkey","Decisive Spartan victory;
Athens is besieged and surrenders. End of Peloponnesian War",Conon,170 ships[1],180 ships,R,D,,,,180,,
Battle of Aegospotami,405 BC,"Aegospotami, Hellespont, present-day Turkey","Decisive Spartan victory;
Athens is besieged and surrenders. End of Peloponnesian War",Adeimantus (son of Leucolophides),170 ships[1],180 ships,R,D,,,,180,,
Battle of Affane,February 1565,"Affane, County Waterford, Ireland",Butler victory,"Gerald FitzGerald, 15th Earl of Desmond",?,"c.180 horse, 3-400 heavy infantry, hundreds more lightly armed infantry.",L,D,350,180,,,,
Battle of Ager Falernus,Summer 217 BC,"Mount Callicula, Campania, present-day Italy",Carthaginian victory,Quintus Fabius Maximus Verrucosus,"2,000 infantry,
2,000 Oxen,
2,000 Camp Followers","4,000 infantry, plus reserves",R,D,4000,,,,,
Battle of Ager Sanguinis,"June 28, 1119",Near Sarmada,Artuqid victory,Roger of Salerno,"40,000[2]","Unknown Antioch troops
500 Armenian cavalry[1]",L,D,1,,,,,
Battle of Agincourt,25 October 1415 (Saint Crispin's Day),"Azincourt, Pas-de-Calais, France
50°27′49″N 2°8′30″E﻿ / ﻿50.46361°N 2.14167°E﻿ / 50.46361; 2.14167Coordinates: 50°27′49″N 2°8′30″E﻿ / ﻿50.46361°N 2.14167°E﻿ / 50.46361; 2.14167",Decisive English victory,Charles I of Albret,"Modern estimates range from 6,000[1] to 9,000[2]
(see Numbers at Agincourt.) About  5⁄6 longbowmen,  1⁄6 dismounted knights and men-at-arms in heavy armour.","Modern estimates range from 12,000 (outnumbering the English 4:3)[2] to 36,000 (outnumbering the English 6:1;[3] see Numbers at Agincourt.)
About 10,000 knights and men-at-arms (of which about 1,200 were mounted), unknown thousands of other infantry, crossbowmen and archers.",R,D,24000,,,,,
Battle of Agincourt,25 October 1415 (Saint Crispin's Day),"Azincourt, Pas-de-Calais, France
50°27′49″N 2°8′30″E﻿ / ﻿50.46361°N 2.14167°E﻿ / 50.46361; 2.14167Coordinates: 50°27′49″N 2°8′30″E﻿ / ﻿50.46361°N 2.14167°E﻿ / 50.46361; 2.14167",Decisive English victory,Jean Le Maingre,"Modern estimates range from 6,000[1] to 9,000[2]
(see Numbers at Agincourt.) About  5⁄6 longbowmen,  1⁄6 dismounted knights and men-at-arms in heavy armour.","Modern estimates range from 12,000 (outnumbering the English 4:3)[2] to 36,000 (outnumbering the English 6:1;[3] see Numbers at Agincourt.)
About 10,000 knights and men-at-arms (of which about 1,200 were mounted), unknown thousands of other infantry, crossbowmen and archers.",R,D,24000,,,,,
Battle of Agincourt,25 October 1415 (Saint Crispin's Day),"Azincourt, Pas-de-Calais, France
50°27′49″N 2°8′30″E﻿ / ﻿50.46361°N 2.14167°E﻿ / 50.46361; 2.14167Coordinates: 50°27′49″N 2°8′30″E﻿ / ﻿50.46361°N 2.14167°E﻿ / 50.46361; 2.14167",Decisive English victory,"Charles, Duke of Orléans","Modern estimates range from 6,000[1] to 9,000[2]
(see Numbers at Agincourt.) About  5⁄6 longbowmen,  1⁄6 dismounted knights and men-at-arms in heavy armour.","Modern estimates range from 12,000 (outnumbering the English 4:3)[2] to 36,000 (outnumbering the English 6:1;[3] see Numbers at Agincourt.)
About 10,000 knights and men-at-arms (of which about 1,200 were mounted), unknown thousands of other infantry, crossbowmen and archers.",R,D,24000,,,,,
Battle of Agnadello,14 May 1509,"Near Agnadello, between Milan and Bergamo, present-day Italy",Decisive French victory[1],Bartolomeo d'Alviano,"30,000[2]","8,000[2]",R,D,8000,,,,,
Battle of Agrigentum,262 BC,Agrigentum,Roman victory,"Hanno, son of Hannibal","40,000","50,000
Plus the garrison of Agrigentum",R,D,50000,,,,,
Battle of Agrigentum,262 BC,Agrigentum,Roman victory,Hannibal Gisco,"40,000","50,000
Plus the garrison of Agrigentum",R,D,50000,,,,,
Battle of Ain Jalut,3 September 1260,"Near Ayn Jalut, Nazareth, Galilee[1]",Mamluk victory,Kitbuqa,"Unknown; most sources (mainly European) agree or at least note that it was probably numerically much larger than the Mongol force[2]
Muslim sources state 20,000 Mamelukes[citation needed]","One Mongol detachment of about 10,000–12,000[1][2]
20,000 (two tumen) according to Muslim sources",R,D,11000,,,,,
Battle of Ajnadayn,July/August 634,"Ajnadayn, Palaestina Prima (now Israel and Palestine)",Decisive Rashidun Caliphate victory,Theodore (brother of Heraclius),"max. 10,000[2] – ca. 20,000[3]","max. 10,000[2] – ca. 20,000[3]",L,D,15000,,,,,
Battle of Akraba,December 632,"Plain of Aqraba, Al-Yamama
(Present day Saudi Arabia)",Decisive Rashidun Caliphate victory,Musaylimah,"13,000","40,000",R,D,40000,,,,,
Battle of Akroinon,740 AD,"Akroinon, Byzantine Empire (modern day Afyon, Turkey)",Decisive Byzantine victory.,Abdallah al-Battal,unknown,"20,000[1][2]",L,D,20000,,,,,
Battle of Akroinon,740 AD,"Akroinon, Byzantine Empire (modern day Afyon, Turkey)",Decisive Byzantine victory.,Al-Malik ibn Shu'aib,unknown,"20,000[1][2]",L,D,20000,,,,,
Battle of Ã–land (1563),,,,,,,R,D,,,,18,,
Battle of Alarcos,"July 18, 1195","Alarcos, Ciudad Real province
38°57′10″N 4°0′0″W﻿ / ﻿38.95278°N 4.00000°W﻿ / 38.95278; -4.00000Coordinates: 38°57′10″N 4°0′0″W﻿ / ﻿38.95278°N 4.00000°W﻿ / 38.95278; -4.00000",Decisive Almohad victory[1],Alfonso VIII of Castile,"Marinid volunteers
Zenata Archers
Hintata
Andalusian Forces","Order of Évora
Order of Santiago",L,D,1,,,,,
Battle of Alarcos,"July 18, 1195","Alarcos, Ciudad Real province
38°57′10″N 4°0′0″W﻿ / ﻿38.95278°N 4.00000°W﻿ / 38.95278; -4.00000Coordinates: 38°57′10″N 4°0′0″W﻿ / ﻿38.95278°N 4.00000°W﻿ / 38.95278; -4.00000",Decisive Almohad victory[1],Diego López II de Haro,"Marinid volunteers
Zenata Archers
Hintata
Andalusian Forces","Order of Évora
Order of Santiago",L,D,1,,,,,
Battle of AlcÃ¢ntara (1580),,,,,,,L,D,8000,500,30,,,
Battle of Alcazarquivir,4 August 1578,"Alcácer Quibir, Morocco","Decisive Saadi Empire victory.
1580 Portuguese succession crisis.
Rise of the Moroccan Saadi Empire",Sebastian of Portugal,"60,000-100,000 men[2]","18,000[1]-23,000 Europeans[2] (including:
2,000 Castilian volunteers
600 Italian volunteers
3,000 mercenaries from Flanders and Germany)
6,000 Moors
40 cannons",L,D,26500,,40,,,
Battle of Alcazarquivir,4 August 1578,"Alcácer Quibir, Morocco","Decisive Saadi Empire victory.
1580 Portuguese succession crisis.
Rise of the Moroccan Saadi Empire",Abu Abdallah Mohammed II Saadi,"60,000-100,000 men[2]","18,000[1]-23,000 Europeans[2] (including:
2,000 Castilian volunteers
600 Italian volunteers
3,000 mercenaries from Flanders and Germany)
6,000 Moors
40 cannons",L,D,26500,,40,,,
Battle of Alcazarquivir,4 August 1578,"Alcácer Quibir, Morocco","Decisive Saadi Empire victory.
1580 Portuguese succession crisis.
Rise of the Moroccan Saadi Empire",Thomas Stukley,"60,000-100,000 men[2]","18,000[1]-23,000 Europeans[2] (including:
2,000 Castilian volunteers
600 Italian volunteers
3,000 mercenaries from Flanders and Germany)
6,000 Moors
40 cannons",L,D,26500,,40,,,
Battle of Alesia,September 52 BC,Alise-Sainte-Reine (France),"Decisive Roman victory
Rome secures the conquest of Gaul",Vercingetorix,"60,000[citation needed] (12 legions with cavalry and auxiliaries)","80,000 besieged,
120,000–250,000 relief forces, modern estimates: 100,000[1]",R,D,100000,,,,,
Battle of Alesia,September 52 BC,Alise-Sainte-Reine (France),"Decisive Roman victory
Rome secures the conquest of Gaul",Commius,"60,000[citation needed] (12 legions with cavalry and auxiliaries)","80,000 besieged,
120,000–250,000 relief forces, modern estimates: 100,000[1]",R,D,100000,,,,,
Battle of Alexandria (30 BC),"July 31-August 1, 30 BC","Alexandria, Egypt",First Attack: Minor Antonian victory; Second Attack: Octavian victory,Mark Antony,"30,000","12,000",L,D,12000,,,,,
Battle of Alfarrobeira,20 May 1449,"Vialonga, near Lisbon, Portugal","Rebellion suppressed;
Supremacy of the main line of the House of Aviz preserved","Peter, Duke of Coimbra","30,000 men[2]","6,000 men:[3]

5,000 infantry
1,000 cavalry",R,D,5000,1000,,,,
Battle of Aljubarrota,14 August 1385,"Near Aljubarrota, central Portugal",Decisive Portuguese victory,John I of Castile,"About 6,600 men:[1]

4,000 foot soldiers
1,700 lances
800 crossbowmen
100 English longbowmen","About 31,000 men:[1]

15,000 foot soldiers
6,000 lances
8,000 crossbowmen
More than 2,000 French heavy knights
15 mortars",R,D,23000,8000,15,,,
Battle of Aljubarrota,14 August 1385,"Near Aljubarrota, central Portugal",Decisive Portuguese victory,Pedro Álvares Pereira,"About 6,600 men:[1]

4,000 foot soldiers
1,700 lances
800 crossbowmen
100 English longbowmen","About 31,000 men:[1]

15,000 foot soldiers
6,000 lances
8,000 crossbowmen
More than 2,000 French heavy knights
15 mortars",R,D,23000,8000,15,,,
Battle of Alltan-Beath,1542,"Knockartel, Scotland",Clan Sutherland victory,"Donald Mackay, 11th of Strathnaver",Unknown,"""A company of men""",R,D,1,,,,,
Battle of Alnwick (1174),13 July 1174,"near present day Alnwick, in Northumberland, England.","Capture of William the Lion, leads to Treaty of Falaise",William the Lion,~400,~60,L,D,60,,,,,
Battle of al-QÄdisiyyah,,,,,,,L,D,200000,,,,,
Battle of al-QÄdisiyyah,,,,,,,L,D,140000,,,,,
Battle of Al-Sannabra,"June 28, 1113","Al-Sinnabra, Israel 32°43′4.65″N 35°34′18.71″E﻿ / ﻿32.7179583°N 35.5718639°E﻿ / 32.7179583; 35.5718639",Seljuk victory,Baldwin I of Jerusalem,Unknown,Unknown,L,D,1,,,,,
